model,display,label,precision,recall,f1,matched,total_gold,total_pred
gpt-4.1_few_shot,GPT-4.1,MULTA,0.7418032786885246,0.8916256157635468,0.8098434004474273,181,203,244
gpt-4.1_few_shot,GPT-4.1,OBRIGACAO,0.5870967741935483,0.7398373983739838,0.6546762589928057,91,123,155
gpt-4.1_few_shot,GPT-4.1,RECOMENDACAO,0.5217391304347826,0.9230769230769231,0.6666666666666667,48,52,92
gpt-4.1_few_shot,GPT-4.1,RESSARCIMENTO,0.7,0.7777777777777778,0.7368421052631577,49,63,70
gpt-4.1-mini_few_shot,GPT-4.1-mini,MULTA,0.7109375,0.896551724137931,0.7930283224400871,182,203,256
gpt-4.1-mini_few_shot,GPT-4.1-mini,OBRIGACAO,0.4666666666666667,0.7967479674796748,0.5885885885885885,98,123,210
gpt-4.1-mini_few_shot,GPT-4.1-mini,RECOMENDACAO,0.4946236559139785,0.8846153846153846,0.6344827586206896,46,52,93
gpt-4.1-mini_few_shot,GPT-4.1-mini,RESSARCIMENTO,0.7076923076923077,0.7301587301587301,0.7187500000000001,46,63,65
gpt-4.1-nano_few_shot,GPT-4.1-nano,MULTA,0.6547085201793722,0.7192118226600985,0.6854460093896715,146,203,223
gpt-4.1-nano_few_shot,GPT-4.1-nano,OBRIGACAO,0.20727272727272728,0.4634146341463415,0.2864321608040201,57,123,275
gpt-4.1-nano_few_shot,GPT-4.1-nano,RECOMENDACAO,0.07258064516129033,0.17307692307692307,0.10227272727272728,9,52,124
gpt-4.1-nano_few_shot,GPT-4.1-nano,RESSARCIMENTO,0.4666666666666667,0.5555555555555556,0.5072463768115943,35,63,75
gpt-5-mini_few_shot,GPT-5-mini,MULTA,0.6203007518796992,0.812807881773399,0.7036247334754797,165,203,266
gpt-5-mini_few_shot,GPT-5-mini,OBRIGACAO,0.1284722222222222,0.9024390243902439,0.2249240121580547,111,123,864
gpt-5-mini_few_shot,GPT-5-mini,RECOMENDACAO,0.4423076923076923,0.8846153846153846,0.5897435897435898,46,52,104
gpt-5-mini_few_shot,GPT-5-mini,RESSARCIMENTO,0.5443037974683544,0.6825396825396826,0.6056338028169014,43,63,79
gpt-5.1_few_shot,GPT-5.1,MULTA,0.726890756302521,0.8522167487684729,0.7845804988662131,173,203,238
gpt-5.1_few_shot,GPT-5.1,OBRIGACAO,0.5082872928176796,0.7479674796747967,0.6052631578947367,92,123,181
gpt-5.1_few_shot,GPT-5.1,RECOMENDACAO,0.5113636363636364,0.8653846153846154,0.6428571428571429,45,52,88
gpt-5.1_few_shot,GPT-5.1,RESSARCIMENTO,0.6901408450704225,0.7777777777777778,0.7313432835820896,49,63,71
gpt-5.2_few_shot,GPT-5.2,MULTA,0.6605166051660517,0.8817733990147784,0.7552742616033756,179,203,271
gpt-5.2_few_shot,GPT-5.2,OBRIGACAO,0.36186770428015563,0.7560975609756098,0.4894736842105263,93,123,257
gpt-5.2_few_shot,GPT-5.2,RECOMENDACAO,0.42857142857142855,0.6923076923076923,0.5294117647058824,36,52,84
gpt-5.2_few_shot,GPT-5.2,RESSARCIMENTO,0.5232558139534884,0.7142857142857143,0.6040268456375839,45,63,86
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,MULTA,0.8254716981132075,0.8620689655172413,0.8433734939759036,175,203,212
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,OBRIGACAO,0.7154471544715447,0.7154471544715447,0.7154471544715447,88,123,123
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,RECOMENDACAO,0.5348837209302325,0.8846153846153846,0.6666666666666665,46,52,86
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,RESSARCIMENTO,0.7758620689655172,0.7142857142857143,0.7438016528925621,45,63,58
llama-3.3-70b_few_shot,Llama-3.3-70B,MULTA,0.7662337662337663,0.29064039408866993,0.4214285714285714,59,203,77
llama-3.3-70b_few_shot,Llama-3.3-70B,OBRIGACAO,0.52,0.3170731707317073,0.3939393939393939,39,123,75
llama-3.3-70b_few_shot,Llama-3.3-70B,RECOMENDACAO,0.41379310344827586,0.23076923076923078,0.29629629629629634,12,52,29
llama-3.3-70b_few_shot,Llama-3.3-70B,RESSARCIMENTO,0.5,0.015873015873015872,0.03076923076923077,1,63,2
qwen2.5-72b_few_shot,Qwen2.5-72B,MULTA,0.7292576419213974,0.8226600985221675,0.7731481481481481,167,203,229
qwen2.5-72b_few_shot,Qwen2.5-72B,OBRIGACAO,0.4470588235294118,0.6178861788617886,0.5187713310580205,76,123,170
qwen2.5-72b_few_shot,Qwen2.5-72B,RECOMENDACAO,0.27522935779816515,0.5769230769230769,0.37267080745341613,30,52,109
qwen2.5-72b_few_shot,Qwen2.5-72B,RESSARCIMENTO,0.6301369863013698,0.7301587301587301,0.6764705882352942,46,63,73
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,MULTA,0.8260869565217391,0.6551724137931034,0.7307692307692308,133,203,161
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,OBRIGACAO,1.0,0.43902439024390244,0.6101694915254238,54,123,54
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,RECOMENDACAO,0.4,0.07692307692307693,0.12903225806451613,4,52,10
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,RESSARCIMENTO,0.7037037037037037,0.30158730158730157,0.4222222222222222,19,63,27
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,MULTA,0.8383233532934131,0.6896551724137931,0.7567567567567568,140,203,167
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,OBRIGACAO,0.9487179487179487,0.6016260162601627,0.736318407960199,74,123,78
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,RECOMENDACAO,0.6,0.28846153846153844,0.3896103896103896,15,52,25
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,RESSARCIMENTO,0.6727272727272727,0.5873015873015873,0.6271186440677966,37,63,55
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,MULTA,0.8609271523178808,0.6403940886699507,0.7344632768361582,130,203,151
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,OBRIGACAO,0.9230769230769231,0.4878048780487805,0.6382978723404256,60,123,65
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,RECOMENDACAO,0.42857142857142855,0.11538461538461539,0.18181818181818182,6,52,14
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,RESSARCIMENTO,0.5555555555555556,0.15873015873015872,0.24691358024691357,10,63,18
bilstm-crf__supervised,BiLSTM-CRF,MULTA,0.8701298701298701,0.6600985221674877,0.7507002801120447,134,203,154
bilstm-crf__supervised,BiLSTM-CRF,OBRIGACAO,0.8,0.5853658536585366,0.676056338028169,72,123,90
bilstm-crf__supervised,BiLSTM-CRF,RECOMENDACAO,0.39473684210526316,0.28846153846153844,0.3333333333333333,15,52,38
bilstm-crf__supervised,BiLSTM-CRF,RESSARCIMENTO,0.6585365853658537,0.42857142857142855,0.5192307692307693,27,63,41
alfaneo_jurisbert-base-portuguese-uncased__supervised,JurisBERT,MULTA,0.7344632768361582,0.6403940886699507,0.6842105263157895,130,203,177
alfaneo_jurisbert-base-portuguese-uncased__supervised,JurisBERT,OBRIGACAO,0.9253731343283582,0.5040650406504065,0.6526315789473685,62,123,67
