model_a,model_b,display_a,display_b,f1_a,f1_b,diff_f1,ci_lower,ci_upper,p_value,significant_95
deepseek-v4-flash_few_shot,llama-3.3-70b_few_shot,DeepSeek-V4-Flash,Llama-3.3-70B,0.7240618101545254,0.3395638629283489,0.3847279032463252,0.3171297356604348,0.45242800781655346,0.0,True
gpt-4.1_few_shot,llama-3.3-70b_few_shot,GPT-4.1,Llama-3.3-70B,0.7151277013752456,0.3395638629283489,0.37557310491354734,0.3096826630956019,0.44084962897018043,0.0,True
gpt-4.1-mini_few_shot,llama-3.3-70b_few_shot,GPT-4.1-mini,Llama-3.3-70B,0.6976303317535545,0.3395638629283489,0.3580321092732974,0.29106124749285534,0.4239436762046867,0.0,True
llama-3.3-70b_few_shot,neuralmind_bert-base-portuguese-cased__supervised,Llama-3.3-70B,BERTimbau-base,0.3395638629283489,0.6895604395604397,-0.34947953578699187,-0.41544303716085895,-0.2828348845088522,0.0,True
gpt-5.1_few_shot,llama-3.3-70b_few_shot,GPT-5.1,Llama-3.3-70B,0.6846673095467696,0.3395638629283489,0.3449732236355971,0.27716606966549145,0.4100952229885484,0.0,True
gpt-4.1-nano_few_shot,deepseek-v4-flash_few_shot,GPT-4.1-nano,DeepSeek-V4-Flash,0.4007319304666057,0.7240618101545254,-0.3236369865263438,-0.374563150739628,-0.27329802778241147,0.0,True
gpt-4.1_few_shot,gpt-4.1-nano_few_shot,GPT-4.1,GPT-4.1-nano,0.7151277013752456,0.4007319304666057,0.3144821881935658,0.26601928240299066,0.36328341620010485,0.0,True
gpt-5-mini_few_shot,deepseek-v4-flash_few_shot,GPT-5-mini,DeepSeek-V4-Flash,0.4108352144469526,0.7240618101545254,-0.31390181585038807,-0.3656648025867739,-0.26378262493136556,0.0,True
gpt-4.1_few_shot,gpt-5-mini_few_shot,GPT-4.1,GPT-5-mini,0.7151277013752456,0.4108352144469526,0.30474701751761013,0.2621247618681842,0.3476298503364835,0.0,True
gpt-4.1-mini_few_shot,gpt-4.1-nano_few_shot,GPT-4.1-mini,GPT-4.1-nano,0.6976303317535545,0.4007319304666057,0.29694119255331597,0.25078760265175043,0.3431020247217335,0.0,True
gpt-4.1-nano_few_shot,neuralmind_bert-base-portuguese-cased__supervised,GPT-4.1-nano,BERTimbau-base,0.4007319304666057,0.6895604395604397,-0.2883886190670104,-0.33776224838341967,-0.23896149226977903,0.0,True
gpt-4.1-mini_few_shot,gpt-5-mini_few_shot,GPT-4.1-mini,GPT-5-mini,0.6976303317535545,0.4108352144469526,0.2872060218773602,0.24789616848092844,0.32736881199571044,0.0,True
