kind,label,iou,pred_label
FN,MULTA,0.0,
FN,OBRIGACAO,0.0,
exact,MULTA,0.9978448275862069,
exact,OBRIGACAO,0.9528985507246377,
exact,MULTA,0.9954954954954955,
exact,OBRIGACAO,0.9652406417112299,
exact,MULTA,0.8704028021015762,
exact,MULTA,0.9963636363636363,
exact,MULTA,0.9965397923875432,
exact,MULTA,0.996875,
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
FN,RECOMENDACAO,0.0,
FP,OBRIGACAO,0.0,
exact,MULTA,0.9967213114754099,
exact,MULTA,0.9953917050691244,
exact,OBRIGACAO,0.5136948015651202,
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
FN,RECOMENDACAO,0.0,
exact,MULTA,0.9978494623655914,
exact,OBRIGACAO,0.9528985507246377,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.5864197530864198,
FP,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,MULTA,1.0,
exact,OBRIGACAO,1.0,
exact,RECOMENDACAO,0.9945945945945946,
FN,MULTA,0.0,
FN,OBRIGACAO,0.0,
FP,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.9707112970711297,
exact,OBRIGACAO,0.9528985507246377,
exact,MULTA,0.9706498951781971,
exact,OBRIGACAO,0.9528985507246377,
exact,MULTA,0.9462809917355371,
exact,OBRIGACAO,0.9662337662337662,
exact,MULTA,0.9707112970711297,
exact,OBRIGACAO,0.9528985507246377,
exact,MULTA,0.9850427350427351,
exact,OBRIGACAO,0.9662337662337662,
exact,MULTA,0.9808102345415778,
exact,OBRIGACAO,0.9662337662337662,
FP,OBRIGACAO,0.0,
exact,MULTA,0.8835341365461847,
exact,OBRIGACAO,0.9528985507246377,
exact,MULTA,0.9262295081967213,
exact,OBRIGACAO,0.9662337662337662,
exact,MULTA,0.9977973568281938,
exact,MULTA,1.0,
exact,OBRIGACAO,1.0,
exact,MULTA,0.9706498951781971,
exact,OBRIGACAO,0.9528985507246377,
exact,MULTA,0.8882113821138211,
exact,OBRIGACAO,0.9528985507246377,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,1.0,
exact,OBRIGACAO,1.0,
exact,MULTA,0.9682203389830508,
exact,OBRIGACAO,0.8124031007751938,
exact,MULTA,0.9829059829059829,
exact,OBRIGACAO,0.9636363636363636,
exact,MULTA,0.8879837067209776,
exact,OBRIGACAO,0.956081081081081,
exact,MULTA,0.9543568464730291,
exact,OBRIGACAO,0.9662337662337662,
exact,MULTA,0.9723404255319149,
exact,OBRIGACAO,0.9662337662337662,
FP,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.9723991507430998,
exact,OBRIGACAO,0.9679012345679012,
exact,RECOMENDACAO,0.9635416666666666,
exact,MULTA,0.9686192468619247,
exact,OBRIGACAO,0.9492753623188406,
exact,MULTA,0.9707112970711297,
exact,OBRIGACAO,0.9528985507246377,
exact,RECOMENDACAO,1.0,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.9557522123893806,
exact,OBRIGACAO,0.7685325264750378,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,1.0,
FN,OBRIGACAO,0.0,
exact,MULTA,0.96875,
exact,MULTA,0.9829059829059829,
exact,OBRIGACAO,0.9636363636363636,
exact,MULTA,0.9808102345415778,
exact,OBRIGACAO,0.9662337662337662,
exact,MULTA,0.9807692307692307,
exact,OBRIGACAO,0.9662337662337662,
exact,MULTA,0.94824016563147,
exact,OBRIGACAO,0.9662337662337662,
exact,MULTA,0.9542619542619543,
FN,OBRIGACAO,0.0,
exact,MULTA,0.9543568464730291,
exact,OBRIGACAO,0.9662337662337662,
exact,MULTA,0.9542619542619543,
exact,OBRIGACAO,0.9662337662337662,
exact,MULTA,0.9604166666666667,
exact,OBRIGACAO,0.9636363636363636,
exact,MULTA,0.9849785407725322,
exact,OBRIGACAO,0.9659685863874345,
exact,MULTA,0.8805668016194332,
exact,OBRIGACAO,0.9528985507246377,
exact,MULTA,0.8843813387423936,
exact,OBRIGACAO,0.9528985507246377,
FN,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.8045112781954887,
exact,MULTA,0.6512605042016807,
exact,OBRIGACAO,0.7202505219206681,
FN,MULTA,0.0,
FN,MULTA,0.0,
exact,RECOMENDACAO,1.0,
FP,RECOMENDACAO,0.0,
exact,OBRIGACAO,0.9493333333333334,
FN,MULTA,0.0,
exact,MULTA,0.9707112970711297,
exact,OBRIGACAO,0.9648648648648649,
exact,MULTA,0.56,
exact,OBRIGACAO,0.6118012422360248,
exact,OBRIGACAO,0.7127659574468085,
exact,OBRIGACAO,0.7298245614035088,
FP,OBRIGACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.874274661508704,
exact,RESSARCIMENTO,0.9933110367892977,
boundary,MULTA,0.3938679245283019,MULTA
exact,OBRIGACAO,0.754874651810585,
exact,MULTA,0.9478458049886621,
exact,MULTA,0.7085427135678392,
exact,MULTA,0.8121546961325967,
exact,MULTA,0.5273311897106109,
exact,OBRIGACAO,0.8684931506849315,
exact,OBRIGACAO,0.9375,
exact,OBRIGACAO,0.6723716381418093,
FN,OBRIGACAO,0.0,
FN,MULTA,0.0,
exact,MULTA,1.0,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,0.8980582524271845,
FP,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,OBRIGACAO,0.7409200968523002,
exact,MULTA,0.9963898916967509,
FP,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,RECOMENDACAO,1.0,
FN,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,0.9945945945945946,
exact,RECOMENDACAO,1.0,
exact,MULTA,0.875,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.7101449275362319,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,0.7784342688330872,
FP,RESSARCIMENTO,0.0,
exact,MULTA,0.9765957446808511,
exact,OBRIGACAO,0.9645776566757494,
exact,MULTA,0.9462809917355371,
exact,OBRIGACAO,0.8152173913043478,
FN,MULTA,0.0,
FP,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,OBRIGACAO,0.9610983981693364,
exact,MULTA,0.9686192468619247,
exact,OBRIGACAO,0.9645776566757494,
exact,OBRIGACAO,1.0,
exact,MULTA,0.976890756302521,
exact,OBRIGACAO,0.9621621621621622,
exact,MULTA,0.9808102345415778,
exact,OBRIGACAO,0.9662337662337662,
exact,MULTA,0.9765957446808511,
