index,text,gold,pred,match
176,"Vistos, relatados e discutidos estes autos,acatando o entendimento do Ministério Público Especial, com fulcro nos fundamentos jurídicos dantes explanados, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar: 

a)	pela APLICAÇÃO DE MULTA no valor de R$1.000,00 (mil reais) para o então gestor responsável, à época dos fatos, pelo Instituto de Previdência dos Servidores do Estado do Rio Grande do Norte - IPERN,  senhor Nereu Batista Linhares, nos termos do artigo 107, inciso II, alínea “f”, da Lei Complementar Estadual nº 464/2012 c/c o artigo 323, inciso II, alínea `f`, do Novel Regimento Interno desta Casa, em virtude do descumprimento de determinação do Tribunal (Decisão nº 1255/2020-TC).
 
b)	pela INTIMAÇÃO da referida autoridade competente nominada, a fim de que tome conhecimento desta decisão e, se for o caso, apresente recurso no prazo regimental. 

c)	pela RENOVAÇÃO DA DETERMINAÇÃO constante na decisão retro, estipulando o prazo de 30 (trinta) dias, após o trânsito em julgado, para que o IPERN, no seu atual gestor, no uso de suas atribuições, regularize a situação noticiada nos autos, pontuada na fundamentação deste voto, sob pena da gradação da multa, nos termos do artigo 110, da Lei Complementar Estadual nº 464/2012.

d)	Por fim, esclarecendo ao órgão de origem que a denegação ora declarada não enseja a suspensão do pagamento dos proventos de aposentadoria da interessada, mas tão somente demanda a sua correção consoante as determinações expostas anteriormente neste voto. ","[(266, 731, 'MULTA_FIXA'), (921, 1277, 'OBRIGACAO_MULTA')]","[(59, 421, 'MULTA_FIXA'), (503, 849, 'OBRIGACAO_MULTA')]",False
177,"Vistos, relatados e discutidos estes autos, acatando o entendimento do Ministério Público Especial, com fulcro nos fundamentos jurídicos dantes explanados, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar:
a)	pela APLICAÇÃO DE MULTA no valor de R$1.000,00 (mil reais) para o então gestor responsável, à época dos fatos, pelo Instituto de Previdência dos Servidores do Estado do Rio Grande do Norte - IPERN,  senhor Nereu Batista Linhares, nos termos do artigo 107, inciso II, alínea “f”, da Lei Complementar Estadual nº 464/2012 c/c o artigo 323, inciso II, alínea `f`, do Novel Regimento Interno desta Casa, em virtude do descumprimento de determinação do Tribunal (Decisão nº 917/2020-TC).
b)	pela INTIMAÇÃO da referida autoridade competente nominada, a fim de que tome conhecimento desta decisão e, se for o caso, apresente recurso no prazo regimental. 
c)	pela RENOVAÇÃO DA DETERMINAÇÃO constante na decisão retro, estipulando o prazo de 30 (trinta) dias úteis, após o trânsito em julgado, para que o IPERN, no seu atual gestor, no uso de suas atribuições, regularize a situação noticiada nos autos, pontuada na fundamentação deste voto.
d)	Por fim, esclarecendo ao órgão de origem que a denegação ora declarada não enseja a suspensão do pagamento dos proventos de aposentadoria da interessada, mas tão somente demanda a sua correção consoante as determinações expostas anteriormente no voto.","[(265, 729, 'MULTA_FIXA'), (916, 1179, 'OBRIGACAO_MULTA')]","[(116, 361, 'MULTA_FIXA'), (494, 745, 'OBRIGACAO')]",False
186,"Vistos, relatados e discutidos estes autos, acatando o entendimento do Corpo Técnico da DAP e o pronunciamento do Ministério Público Especial, com fulcro nos fundamentos jurídicos dantes explanados,  ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar:
 
a)	pela APLICAÇÃO DE MULTA no valor de R$1.000,00 (mil reais) para o então gestor responsável, à época dos fatos, pela Universidade do Estado do Rio Grande do Norte - UERN,  senhor Pedro Fernandes Ribeiro Neto, nos termos do artigo 107, inciso II, alínea “f”, da Lei Complementar Estadual nº 464/2012 c/c o artigo 323, inciso II, alínea `f`, do Novel Regimento Interno desta Casa, em virtude do descumprimento de determinação do Tribunal (Decisão nº 3616/2016
-TC).
 
b)	pela INTIMAÇÃO da referida autoridade competente nominada, a fim de que tome conhecimento desta decisão e, se for o caso, apresente recurso no prazo regimental. 


c)	pela RENOVAÇÃO DA DETERMINAÇÃO constante na decisão retro, estipulando o prazo de 30 (trinta) dias úteis, após o trânsito em julgado, para que a UERN, no seu atual gestor, no uso de suas atribuições, regularize a situação noticiada nos autos, pontuada na fundamentação deste voto, sob pena de imputação de multa nos termos do artigo 110, da Lei Complementar Estadual nº 464/2012.

d)	Por fim, esclarecendo ao órgão de origem que a denegação ora declarada não enseja a suspensão do pagamento dos proventos de aposentadoria da interessada, mas tão somente demanda a sua correção consoante as determinações expostas anteriormente neste voto.","[(311, 755, 'MULTA_FIXA'), (946, 1307, 'OBRIGACAO_MULTA')]","[(95, 470, 'MULTA_FIXA'), (522, 849, 'OBRIGACAO_MULTA')]",False
188,"Vistos, relatados e discutidos estes autos, concordando com o Corpo Técnico e com o Parecer do Ministério Público junto a esta Corte, ACORDAM os Conselheiros, nos termos da proposta de voto proposto pelo Conselheiro Relator, julgar pela DESAPROVAÇÃO DA MATÉRIA, nos termos do artigo 75, II, da Lei Complementar Estadual nº 464/2012, sem prejuízo da aplicação de multa ao Sr. Dagoberto Bessa Cavalcante, responsável à época pela Prefeitura Municipal de Severiano Melo/RN, no valor de R$ 3.000,00 (três mil reais), com fulcro no artigo 107, inciso II, “f”, da Lei Complementar nº 464/2012 c/c o artigo 33, inciso I, alínea “c”, da Resolução nº 011/2016 – TCE/RN, tendo em vista a ausência na alimentação de informações no Portal da Transparência em tempo real do referido legislativo, relativas ao período fiscalizado (exercício de 2019), com violação de disposição regulamentar acima especificada. ","[(362, 896, 'MULTA_FIXA')]","[(255, 645, 'MULTA_FIXA')]",False
189,"Vistos, relatados e discutidos estes autos, concordando com o posicionamento do Corpo Técnico e divergindo do MPJTC – quanto ao desprovimento do recurso-, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar pelo conhecimento do Pedido de Reconsideração e, no mérito, pelo seu provimento parcial no sentido de, reconhecendo a ilegitimidade de parte, se afastar da responsabilidade do Recorrente as penalidades referentes às obrigações cujo prazo de vencimento se escoou antes da data da sua posse como prefeito, ocorrida em 21.08.2009, mantendo-se a aplicação das seguintes multas:

a) Multa no valor de R$ 3.000,00 (três mil reais), com fundamento no artigo 102, inciso II, alínea “f”, da Lei Complementar Estadual nº 121/94 c/c art. 28, I, “b”, da Resolução nº 12/2007-TCE, pela ausência de publicação dos RREO’s do 4º, 5º e 6º bimestres do exercício de 2009; e b) Multa no valor de R$ 1.600,00 (mil e seiscentos reais), com fundamento no artigo 102, inciso II, alínea “f”, da Lei Complementar Estadual nº 121/94 c/c art. 28, inciso I, alínea “a”, da Resolução nº 12/2007 – TCE, pelo atraso na remessa ao TCE dos RREO’s do 5º e 6º bimestres do exercício; e c) multa no valor de R$ 36.000,00 (trinta e seis mil reais), correspondentes a 30% (trinta por cento) sobre os vencimentos anuais do gestor, com fundamento no art. 5º, inciso I, na Lei nº 10.028/2000 e artigo 26 da Resolução nº 012/2007, pela ausência de publicação e atraso na entrega do RGF do 2º semestre de 2009 ao TCE.","[(620, 895, 'MULTA_FIXA'), (901, 1190, 'MULTA_FIXA'), (1196, 1516, 'MULTA_PERCENTUAL')]","[(401, 566, 'MULTA_FIXA'), (571, 751, 'MULTA_FIXA'), (756, 1012, 'MULTA_PERCENTUAL')]",False
205,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acatando o pronunciamento do Corpo Técnico da DAP e do Representante do Ministério Público Especial, com fulcro nos fundamentos fáticos e jurídicos dantes explanados, acolhendo integralmente o voto do Conselheiro Relator, julgar:

a) Pela DENEGAÇÃO DO REGISTRO do ato concessivo de aposentadoria sob análise, nos termos do artigo 53, inciso III, da Constituição Estadual e do artigo 1º, inciso III, da Lei Complementar nº 464/2012, em virtude de irregularidade na implantação do benefício referente a ausência da vantagem de 20% (vinte por cento) de acréscimo nos proventos, contrariando o disposto no artigo 202, inciso II, da Lei Complementar estadual nº 122/1994, sem olvidar que no ato concessor não se faz menção a retroatividade dos efeitos jurídicos a 03/12/1998, data do laudo da Junta Médica do Estado;

b) Pela INTIMAÇÃO do Instituto de Previdência dos Servidores do Estado do Rio Grande do Norte – IPERN, gestor único do RPPS/RN, no uso de suas atribuições, no seu atual gestor, assim como da interessada, o senhor Múcio Teixeira Benfica, a fim de que tomem conhecimento desta Decisão e, se for o caso, apresentem recurso no prazo regimental;

c) Pela DETERMINAÇÃO ao órgão previdenciário, no seu atual gestor, após o trânsito em julgado, no prazo de 60 (sessenta) dias, para que regularize a situação noticiada nos autos;

d) Por fim, esclarecendo ao órgão de origem que a denegação ora declarada não enseja a suspensão do pagamento dos proventos de aposentadoria da interessada, mas tão somente demanda a sua correção consoante as determinações expostas anteriormente neste voto.
","[(1235, 1405, 'OBRIGACAO')]",[],False
206,"Vistos, relatados e discutidos estes autos, considerando a manifestação emitida pelo Corpo Técnico e parecer do Ministério Público junto a esta Corte, ACORDAM os Conselheiros, nos termos do voto proposto pelo Conselheiro Relator, julgar por:
 1) Emitir PARECER PRÉVIO PELA DESAPROVAÇÃO DAS CONTAS, relativas ao exercício de 2017, da PREFEITURA MUNICIPAL DE TIBAU DO SUL/RN, sob a responsabilidade do Excelentíssimo Senhor Prefeito Sr. Antônio Modesto Rodrigues de Macedo, submetendo-o à Augusta Câmara de Vereadores do referido Município, cuja deliberação deve ser oportunamente informada a este Tribunal.
2) Determinar a imediata remessa de cópias do presente Parecer Prévio ao Ministério Público Estadual, para que possa, no âmbito de suas atribuições constitucionais e legais, apurar os fatos pelos quais se emite o presente Parecer Prévio.
3) Determinar a instauração de processo de Apuração de Responsabilidade perante esta Corte, oriundo desta mesma relação processual e sob a relatoria deste Conselheiro Substituto, em face do Chefe do Poder Executivo, época, Excelentíssimo Senhor Prefeito Antônio Modesto Rodrigues de Macedo, em razão das seguintes irregularidades: ausência de adoção de medidas para a recondução do excedente da Despesa Total de Pessoal (DTP) nos prazos definidos em lei; não remessa na data devida de documentos que compõem a PCA ; descumprimento do prazo de envio da LDO ao Tribunal, com a posterior remessa do processo de apuração de responsabilidade constituído ao Ministério Público de Contas para pronunciamento, tudo nos moldes do artigo 247-B do Regimento Interno deste Tribunal (Resolução nº 009/2012-TCE), incluído pela Resolução nº 012/2016-TCE.
4) Expedição de cientificação ao Conselho de Contabilidade do Rio Grande do Norte – CRC/RN, em desfavor da Sr.ª Marijunia Alves Guedes - CRC/RN n.° 7.537/O-6, contadora responsável pela entidade no exercício analisado, para fins de apuração de responsabilidade ético-profissional decorrente das seguintes impropriedades: distorção entre o valor da Receita Orçamentária informado no Balanço Orçamentário e no Balanço Financeiro; distorção entre valor do Saldo de Caixa e Equivalentes de Caixa informado no Balanço Financeiro e no Balanço Patrimonial; Distorção no valor do déficit financeiro demonstrado no Balanço Patrimonial; Distorção do valor do Resultado Patrimonial informado no Balanço Patrimonial e na Demonstração das Variações Patrimoniais; Distorção no Patrimônio Líquido; Distorção entre o saldo da Dívida Flutuante e o saldo do Passivo Financeiro evidenciado no Balanço Patrimonial, conforme apontado no Relatório da Unidade Técnica, o qual deve acompanhar essa cientificação.
5) Determinar a expedição de recomendação ao atual Chefe do Poder Executivo em referência para que adote medidas necessárias à melhoria da qualidade das informações contábeis.
6) Esclarecer que as conclusões do Parecer não excluem o julgamento, por este Tribunal, das Contas individualizadas de responsabilidade dos ordenadores de despesa e demais responsáveis por dinheiros, bens e valores públicos.
","[(609, 843, 'OBRIGACAO'), (847, 1683, 'OBRIGACAO'), (2702, 2848, 'RECOMENDACAO')]",[],False
209,"Vistos, relatados e discutidos estes autos, em consonância com a Informação Técnica dos servidores da DAM e parcialmente com o Parecer da Representante do Parquet Especial, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar pela irregularidade das contas da Prefeitura Municipal de João Dias, exercício de 2015, nos termos do art. 75, inciso I, da Lei Complementar nº 464/2012, Lei Orgânica desta Corte de Contas, condenando o responsável, Sr. Geraldo Luiz da Silva, às seguintes penalidades:

a) multa de R$ 28.800,00 (vinte e oito mil e oitocentos reais), pela omissão nas publicações dos RGF’s do 1º e 2º semestres, valor equivalente a 30% (trinta por cento) dos seus vencimentos anuais, conforme previsão do artigo 5º, inciso I, da Lei nº 10.028/2000, c/c com artigo 29 da Resolução nº 04/2013-TCE; 

b) 06 multas de R$ 5.000,00 (cinco mil reais) cada, totalizando R$ 30.000,00 (trinta mil reais), pela omissão na divulgação dos RREO’s do 1º ao 6º bimestres, conforme previsão do artigo 31 da Resolução nº 004/2013 - TCE.

Por fim, em atenção ao parágrafo 3º do art. 75 da Lei Complementar nº 464/2012, pela remessa de cópias autenticadas das principais peças do caderno processual ao Ministério Público Estadual, para ciência deste decisum.","[(533, 838, 'MULTA_FIXA'), (844, 1061, 'MULTA_FIXA')]","[(226, 474, 'MULTA_PERCENTUAL'), (483, 665, 'MULTA_FIXA')]",False
210,"Vistos, relatados e discutidos estes autos, em consonância com a Unidade Técnica e com o MPC, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar com fundamento nos arts. 120 e 121, da Lei Complementar Estadual nº 464/2012, pela expedição de medida cautelar, a fim de que:

a) seja determinada à Secretaria de Estado da Saúde Pública do RN – SESAP/RN que proceda à conclusão do processo licitatório (Processo nº 00610079.001676/2023-32 - SEI/RN) deflagrado para a contratação de serviços técnicos especializados em manutenção preventiva, preditiva e corretiva de 4 (quatro) elevadores do nível central e 1 (um) elevador do anexo da SESAP/RN, no prazo máximo de até 180 (cento e oitenta) dias corridos, vedada a contratação por inexigibilidade de licitação, devendo, ainda, alimentar o referido processo SEI com todas as informações pertinentes. Por compreender que a paralisação dos serviços certamente traria grandes prejuízos à população, em razão da imprescindível continuidade da manutenção dos elevadores da Secretaria de Saúde do RN, admitir-se-á, se for o caso, excepcionalmente, que a Administração realize a prorrogação do atual contrato em vigor (01/06/2023 a 31/05/2024) até que venha a celebrar um novo instrumento contratual, decorrente do processo licitatório em curso. 

 Deve, ainda, ser demonstrado nos autos, nos 05 (cinco) dias úteis após ultimado o prazo previsto na alínea “a” acima, a efetiva conclusão do processo licitatório, trazendo a gestora aos autos a cópia de todo o processo licitatório em testilha, assim como do contrato dele decorrente, sob pena de, não cumprindo tal obrigação, no prazo antes referido, incidir multa diária e pessoal à responsável, desde já fixada no valor de R$ 200,00 (duzentos reais) por dia que superar o interregno aqui fixado, com base no art. 110 da Lei Complementar Estadual nº 464/2012, valor esse passível de revisão, limitado ao teto previsto no art. 323, inciso II, alínea `b`, do Regimento Interno, a ser apurado por ocasião de eventual subsistência de mora.
	Intime-se a Secretaria de Estado da Saúde Pública – SESAP, na pessoa da sua atual gestora, Sra. Lyane Ramalho Cortez, dos termos desta Decisão.","[(317, 1318, 'OBRIGACAO'), (1322, 2058, 'OBRIGACAO_MULTA')]","[(505, 1623, 'OBRIGACAO'), (628, 1739, 'OBRIGACAO_MULTA')]",False
212,"Vistos, relatados e discutidos estes autos, acatando parcialmente o pronunciamento do Corpo Técnico da DAP e do Ministério Público Especial, divergindo apenas quanto a imposição de multa diária, com fulcro nos fundamentos jurídicos dantes explanados, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar:

a)	pela APLICAÇÃO DE MULTA no valor de R$1.000,00 (mil reais) para o então gestor responsável, à época dos fatos, pelo Instituto de Previdência dos Servidores do Estado do Rio Grande do Norte - IPERN,  senhor Nereu Batista Linhares, nos termos do artigo 107, inciso II, alínea “f”, da Lei Complementar Estadual nº 464/2012 c/c o artigo 323, inciso II, alínea `f`, do Novel Regimento Interno desta Casa, em virtude do descumprimento de determinação do Tribunal (Decisão nº 1436/2020-TC).
 
b)	pela INTIMAÇÃO da referida autoridade competente nominada, a fim de que tome conhecimento desta decisão e, se for o caso, apresente recurso no prazo regimental. 

c)	pela RENOVAÇÃO DA DETERMINAÇÃO constante na decisão retro, estipulando o prazo de 30 (trinta) dias úteis, após o trânsito em julgado, para que o IPERN, no seu atual gestor, no uso de suas atribuições, regularize a situação noticiada nos autos, pontuada na fundamentação deste voto.

d)	Por fim, esclarecendo ao órgão de origem que a denegação ora declarada não enseja a suspensão do pagamento dos proventos de aposentadoria da interessada, mas tão somente demanda a sua correção consoante as determinações expostas anteriormente neste voto. ","[(361, 826, 'MULTA_FIXA'), (1016, 1279, 'OBRIGACAO')]","[(119, 413, 'MULTA_FIXA')]",False
