,datasessao,texto_acordao,idcomposicaopauta,idvoto,idvotopauta,year,ner_decisao
683,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, concordando com a Informação do Corpo Técnico da DAP e com o Parecer do Ministério Público que atua junto a esta Corte de Contas em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, e acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. ",106564,33657,33657.0,2023,
684,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, concordando com a Informação do Corpo Técnico da DAP e com o Parecer MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, e acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral.",106565,33656,33656.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
685,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, concordando com a Informação do Corpo Técnico da DAP e com o Parecer MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, e acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral.",106566,33654,33654.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
686,2023-01-24 00:00:00.000,"Vistos, relatados e discutidos estes autos, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, concordando com a Informação do Corpo Técnico e com o Parecer do MPC, julgar pelo conhecimento do recurso para, no mérito, NEGAR-LHE PROVIMENTO, mantendo-se, em todos os seus termos, a Decisão nº 77/2019-TC.",106584,33670,33670.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
687,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto proposto da Conselheira Relatora, julgar pelo registro do ato de admissão nos termos do art. 71 III da Constituição da República c/c art. 95 I da LC 464/2012, tendo sido a matéria pacificada mediante enunciado sumular 26 deste tribunal. 
Por fim, pela remessa do teor decisório da presente à relatoria do processo 010824/2018, tudo para os fins de direito.",106839,33808,33808.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
688,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo reconhecimento de que o óbito da parte interessada em epígrafe prejudica o registro do ato concessivo de aposentadoria, mas com a ressalva de que poderá haver seu exame de legalidade no procedimento próprio de uma eventual pensão;
b)	pela notificação do gestor responsável pelo IPERN, para que providencie, se for o caso, a remessa do respectivo processo de pensão por morte, consoante prescreve o art. 96, IV, da LCE nº 464/2012.",106841,33811,33811.0,2023,"multas=[] ressarcimentos=[] obrigacoes=[NERObrigacao(descricao_obrigacao='notificação do gestor responsável pelo IPERN, para que providencie, se for o caso, a remessa do respectivo processo de pensão por morte, consoante prescreve o art. 96, IV, da LCE nº 464/2012.')] recomendacoes=[]"
689,2023-01-24 00:00:00.000,"Vistos, relatados e discutidos estes autos, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar pelo conhecimento do recurso para, no mérito, NEGAR-LHE PROVIMENTO, mantendo-se, em todos os seus termos, a Decisão recorrida.",106880,33828,33828.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
690,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentador, com o posterior arquivamento do processo.",106958,33859,33859.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
691,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.
",106959,33862,33862.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
692,2023-01-24 00:00:00.000,"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo registro tácito do ato de aposentadoria, com a anotação da respectiva despesa.
",106960,33861,33861.0,2023,multas=[] ressarcimentos=[] obrigacoes=[] recomendacoes=[]
