texto_acordao,
"
Vistos, relatados e discutidos estes autos, em consonância com o Corpo Técnico da então DDP e em discordância com o Ministério Público de Contas divergindo deste em relação à contagem do prazo obrigacionais em dias úteis, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar pela desaprovação da matéria, nos moldes do art. 75, inciso I, da Lei Complementar Estadual n.º 464/2012, impondo-se ao Sr. JOSE MORGANIO PAIVA, gestor responsável pela Prefeitura Municipal de Ipueira no período de apuração, a multa que totaliza R$ 1.100,00 (hum mil e cem reais), ante ao atraso de 02(dois)dias na remessa ao TCE/RN de dados por meio do SIAI-DP referentes ao mês de agosto de 2021, com arrimo no art. 107, inciso II, alínea “f”, da Lei Complementar Estadual n.º 464/2012, c/c o art. 6º, da Resolução n.º 022/2020 – TCE/RN. 

Ressalte-se que as irregularidades aqui verificadas não configuram ato de improbidade administrativa, nos termos do art. 1º, inciso I, alínea “g”, da Lei Complementar Federal nº 64/1990, tratando-se, inclusive, de entendimento sumulado por este Tribunal de Contas (Súmula nº 29-TCE/RN). 

Transcorrido o prazo legal sem a interposição de recurso em face do presente Decisum, deverá a Diretoria Expediente – DE, certificar o seu trânsito em julgado e, por conseguinte, fazer a citação pra pagamento, e em caso de não cumprimento voluntário, encaminhar o feito para à DIP adotar os procedimentos necessários à execução, especialmente o disposto no art. 118, inciso I, da Lei Complementar Estadual n.º 464/2012.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em consonância com o Corpo Técnico da DAP e o Ministério Público de Contas, com fulcro nos fundamentos fáticos e jurídicos dantes explanados, e acolhendo integralmente o voto do Conselheiro Relator, julgar pelo REGISTRO tácito do ato de aposentadoria sob análise, nos termos do artigo 71, inciso III, da Constituição Federal; artigo 53, inciso III, da Constituição Estadual e artigo 1º, inciso III, da Lei Complementar nº 464/2012, reconhecendo-se assim a estabilização da situação jurídica sob análise, em face dos princípios constitucionais da segurança jurídica e da confiança legítima, conforme tese jurídica recente do Supremo Tribunal Federal, em sede do Tema 445 de repercussão geral, nos autos do Recurso Extraordinário nº 636.553/RS.",
"Vistos, relatados e discutidos estes autos, acatando o entendimento do Corpo Técnico da DAP e parcialmente o pronunciamento do Ministério Público Especial, discordando apenas da aplicação de multa diária, com fulcro nos fundamentos jurídicos dantes explanados, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar: 
a)	pela APLICAÇÃO DE MULTA no valor de R$1.000,00 (mil reais) para o então gestor responsável, à época dos fatos, pelo Instituto de Previdência dos Servidores do Estado do Rio Grande do Norte - IPERN,  senhor Nereu Batista Linhares, nos termos do artigo 107, inciso II, alínea “f”, da Lei Complementar Estadual nº 464/2012 c/c o artigo 323, inciso II, alínea `f`, do Novel Regimento Interno desta Casa, em virtude do descumprimento de determinação do Tribunal (Decisão nº 1401/2020-TC).
b)	pela INTIMAÇÃO da referida autoridade competente nominada, a fim de que tome conhecimento desta decisão e, se for o caso, apresente recurso no prazo regimental. 
c)	pela RENOVAÇÃO DA DETERMINAÇÃO constante na decisão retro, estipulando o prazo de 30 (trinta) dias úteis, após o trânsito em julgado, para que o IPERN, no seu atual gestor, no uso de suas atribuições, regularize a situação noticiada nos autos, pontuada na fundamentação deste voto.
d)	Por fim, esclarecem ao órgão de origem que a denegação ora declarada não enseja a suspensão do pagamento dos proventos de aposentadoria da interessada, mas tão somente demanda a sua correção consoante as determinações expostas anteriormente neste voto.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em harmonia com o entendimento do Corpo Técnico da DAP e discordando do pronunciamento do Ministério Público de Contas, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo REGISTRO DO ATO DE ADMISSÃO em apreço, nos termos do artigo 71, inciso III, da Constituição Federal, artigo 53, inciso III, da Constituição Estadual e artigo 1º, inciso III, da Lei Complementar Estadual nº 464/2012, em conformidade com o Enunciado da Súmula nº 26-TCE. 
Ainda, pela prejudicialidade da postulação de constituição de procedimento de apuração de responsabilidade, uma vez que já existe processo de apuração em curso de número 15.515/2015-TC, com alcance sobre todas as nomeações com base no concurso público supracitado.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em harmonia com o entendimento do Corpo Técnico da DAP e discordando do pronunciamento do Ministério Público de Contas, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo REGISTRO DO ATO DE ADMISSÃO em apreço, nos termos do artigo 71, inciso III, da Constituição Federal, artigo 53, inciso III, da Constituição Estadual e artigo 1º, inciso III, da Lei Complementar Estadual nº 464/2012, em conformidade com o Enunciado da Súmula nº 26-TCE, DECIDINDO ainda, pela prejudicialidade da postulação de constituição de procedimento de apuração de responsabilidade, uma vez que já existe processo de apuração em curso de número 15.515/2015-TC, com alcance sobre todas as nomeações com base no concurso público supracitado.",
"Vistos, relatados e discutidos estes autos, manifestando concordância com o entendimento do Corpo Técnico da DAP e do Ministério Público Especial, com fulcro nos fundamentos jurídicos dantes explanados, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar pelo conhecimento do recurso de Pedido de Reconsideração ofertado pela recorrente para, no mérito, negar-lhe provimento, permanecendo todos os termos da Decisão nº 815/2020-TC, já prolatada por esta Corte de Contas. ",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em consonância com o entendimento do Corpo Técnico da DAP e do Ministério Público de Contas e considerando os precedentes desta Corte de Contas sobre o tema, acolhendo integralmente o voto do Conselheiro Relator, julgar pelo REGISTRO tácito do ato de pensão por morte sob análise, nos termos do artigo 71, inciso III, da Constituição Federal; artigo 53, inciso III, da Constituição Estadual e artigo 1º, inciso III, da Lei Complementar nº 464/2012, reconhecendo-se assim a estabilização da situação jurídica sob análise, em face dos princípios constitucionais da segurança jurídica e da confiança legítima, conforme tese jurídica recente do Supremo Tribunal Federal, em sede do Tema 445 de repercussão geral, nos autos do Recurso Extraordinário nº 636.553/RS.",
"1)	Emitir PARECER PRÉVIO DESFAVORÁVEL À APROVAÇÃO DAS CONTAS ANUAIS DE GOVERNO da Prefeitura Municipal  de JOÃO CÂMARA relativas ao exercício 2018, de responsabilidade do Prefeito Municipal à época, Sr. MANOEL DOS SANTOS BERNARDO, com amparo no artigo 61, caput, da Lei Complementar Estadual nº 464/2012, c/c o disposto no artigo 246, caput, do Regimento Interno desta Corte, em razão da sonegação de documentos, abertura de crédito suplementar em montante superior ao autorizado na LOA, apuração de déficit orçamentário, proposição de LDO sem inclusão de metas fiscais, repasse de duodécimo em valor superior ao máximo legal e omissão na recondução da despesa com pessoal ao limite legal, submetendo-as à Augusta Câmara Municipal de João Câmara/RN;
2)	Esclarecer que as conclusões deste Parecer não excluem o julgamento, por este Tribunal, das contas individualizadas de responsabilidade dos ordenadores de despesa e demais responsáveis por dinheiro, bens e valores públicos; e
3)	Determinar, após o trânsito em julgado da decisão e nos termos do artigo 247-B, do Regimento Interno desta Corte de Contas, a constituição de processo autônomo para apuração de responsabilidade do Sr. MANOEL DOS SANTOS BERNARDO, em razão das irregularidades assinaladas no Relatório de Auditoria nº 105/2022 – DAM/FGO .
",Parecer Prévio
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em consonância com o entendimento do Corpo Técnico da DAP e do Ministério Público de Contas e considerando os precedentes desta Corte de Contas sobre o tema, e acolhendo integralmente o voto do Conselheiro Relator, julgar pelo REGISTRO tácito do ato de pensão por morte sob análise, nos termos do artigo 71, inciso III, da Constituição Federal; artigo 53, inciso III, da Constituição Estadual e artigo 1º, inciso III, da Lei Complementar nº 464/2012, reconhecendo-se assim a estabilização da situação jurídica sob análise, em face dos princípios constitucionais da segurança jurídica e da confiança legítima, conforme tese jurídica recente do Supremo Tribunal Federal, em sede do Tema 445 de repercussão geral, nos autos do Recurso Extraordinário nº 636.553/RS.
",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, em consonância com o entendimento do Corpo Técnico da DAP e do Ministério Público de Contas e considerando os precedentes desta Corte de Contas sobre o tema, e acolhendo integralmente o voto do Conselheiro Relator, julgar  pelo REGISTRO tácito do ato de pensão por morte sob análise, nos termos do artigo 71, inciso III, da Constituição Federal; artigo 53, inciso III, da Constituição Estadual e artigo 1º, inciso III, da Lei Complementar nº 464/2012, reconhecendo-se assim a estabilização da situação jurídica sob análise, em face dos princípios constitucionais da segurança jurídica e da confiança legítima, conforme tese jurídica recente do Supremo Tribunal Federal, em sede do Tema 445 de repercussão geral, nos autos do Recurso Extraordinário nº 636.553/RS.",
