model,display,label,precision,recall,f1,matched,total_gold,total_pred
gpt-4.1_few_shot,GPT-4.1,MULTA,0.7385892116182573,0.839622641509434,0.7858719646799118,178,212,241
gpt-4.1_few_shot,GPT-4.1,OBRIGACAO,0.6,0.7099236641221374,0.6503496503496504,93,131,155
gpt-4.1_few_shot,GPT-4.1,RECOMENDACAO,0.4673913043478261,0.8113207547169812,0.593103448275862,43,53,92
gpt-4.1_few_shot,GPT-4.1,RESSARCIMENTO,0.704225352112676,0.7936507936507936,0.7462686567164178,50,63,71
gpt-4.1-mini_few_shot,GPT-4.1-mini,MULTA,0.7193675889328063,0.8584905660377359,0.7827956989247311,182,212,253
gpt-4.1-mini_few_shot,GPT-4.1-mini,OBRIGACAO,0.5245901639344263,0.732824427480916,0.6114649681528662,96,131,183
gpt-4.1-mini_few_shot,GPT-4.1-mini,RECOMENDACAO,0.46808510638297873,0.8301886792452831,0.5986394557823129,44,53,94
gpt-4.1-mini_few_shot,GPT-4.1-mini,RESSARCIMENTO,0.7076923076923077,0.7301587301587301,0.7187500000000001,46,63,65
gpt-4.1-nano_few_shot,GPT-4.1-nano,MULTA,0.6782178217821783,0.6462264150943396,0.6618357487922706,137,212,202
gpt-4.1-nano_few_shot,GPT-4.1-nano,OBRIGACAO,0.17131474103585656,0.3282442748091603,0.225130890052356,43,131,251
gpt-4.1-nano_few_shot,GPT-4.1-nano,RECOMENDACAO,0.0625,0.1320754716981132,0.08484848484848485,7,53,112
gpt-4.1-nano_few_shot,GPT-4.1-nano,RESSARCIMENTO,0.47058823529411764,0.5079365079365079,0.48854961832061067,32,63,68
gpt-5-mini_few_shot,GPT-5-mini,MULTA,0.6127819548872181,0.7688679245283019,0.6820083682008369,163,212,266
gpt-5-mini_few_shot,GPT-5-mini,OBRIGACAO,0.1284722222222222,0.8473282442748091,0.22311557788944722,111,131,864
gpt-5-mini_few_shot,GPT-5-mini,RECOMENDACAO,0.4423076923076923,0.8679245283018868,0.5859872611464968,46,53,104
gpt-5-mini_few_shot,GPT-5-mini,RESSARCIMENTO,0.5443037974683544,0.6825396825396826,0.6056338028169014,43,63,79
gpt-5.1_few_shot,GPT-5.1,MULTA,0.7184873949579832,0.8066037735849056,0.76,171,212,238
gpt-5.1_few_shot,GPT-5.1,OBRIGACAO,0.5027624309392266,0.6946564885496184,0.5833333333333335,91,131,181
gpt-5.1_few_shot,GPT-5.1,RECOMENDACAO,0.5113636363636364,0.8490566037735849,0.6382978723404256,45,53,88
gpt-5.1_few_shot,GPT-5.1,RESSARCIMENTO,0.676056338028169,0.7619047619047619,0.7164179104477612,48,63,71
gpt-5.2_few_shot,GPT-5.2,MULTA,0.6568265682656826,0.839622641509434,0.7370600414078675,178,212,271
gpt-5.2_few_shot,GPT-5.2,OBRIGACAO,0.35797665369649806,0.7022900763358778,0.4742268041237113,92,131,257
gpt-5.2_few_shot,GPT-5.2,RECOMENDACAO,0.42857142857142855,0.6792452830188679,0.5255474452554745,36,53,84
gpt-5.2_few_shot,GPT-5.2,RESSARCIMENTO,0.5232558139534884,0.7142857142857143,0.6040268456375839,45,63,86
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,MULTA,0.7989949748743719,0.75,0.7737226277372263,159,212,199
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,OBRIGACAO,0.7678571428571429,0.6564885496183206,0.7078189300411524,86,131,112
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,RECOMENDACAO,0.5189873417721519,0.7735849056603774,0.6212121212121211,41,53,79
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,RESSARCIMENTO,0.7368421052631579,0.6666666666666666,0.7,42,63,57
llama-3.3-70b_few_shot,Llama-3.3-70B,MULTA,0.7532467532467533,0.27358490566037735,0.4013840830449827,58,212,77
llama-3.3-70b_few_shot,Llama-3.3-70B,OBRIGACAO,0.5066666666666667,0.2900763358778626,0.3689320388349515,38,131,75
llama-3.3-70b_few_shot,Llama-3.3-70B,RECOMENDACAO,0.41379310344827586,0.22641509433962265,0.2926829268292683,12,53,29
llama-3.3-70b_few_shot,Llama-3.3-70B,RESSARCIMENTO,0.5,0.015873015873015872,0.03076923076923077,1,63,2
qwen2.5-72b_few_shot,Qwen2.5-72B,MULTA,0.7248908296943232,0.7830188679245284,0.7528344671201814,166,212,229
qwen2.5-72b_few_shot,Qwen2.5-72B,OBRIGACAO,0.45294117647058824,0.5877862595419847,0.5116279069767442,77,131,170
qwen2.5-72b_few_shot,Qwen2.5-72B,RECOMENDACAO,0.27522935779816515,0.5660377358490566,0.37037037037037035,30,53,109
qwen2.5-72b_few_shot,Qwen2.5-72B,RESSARCIMENTO,0.6301369863013698,0.7301587301587301,0.6764705882352942,46,63,73
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,MULTA,0.7965116279069767,0.7172774869109948,0.7548209366391183,137,191,172
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,OBRIGACAO,0.9818181818181818,0.4576271186440678,0.6242774566473989,54,118,55
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,RECOMENDACAO,0.2857142857142857,0.041666666666666664,0.07272727272727272,2,48,7
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,RESSARCIMENTO,0.75,0.0967741935483871,0.1714285714285714,6,62,8
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,MULTA,0.8218390804597702,0.7486910994764397,0.7835616438356164,143,191,174
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,OBRIGACAO,0.8888888888888888,0.5423728813559322,0.6736842105263159,64,118,72
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,RECOMENDACAO,0.7142857142857143,0.20833333333333334,0.3225806451612903,10,48,14
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,RESSARCIMENTO,0.6122448979591837,0.4838709677419355,0.5405405405405406,30,62,49
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,MULTA,0.8666666666666667,0.612565445026178,0.7177914110429446,117,191,135
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,OBRIGACAO,0.8823529411764706,0.5084745762711864,0.6451612903225806,60,118,68
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,RECOMENDACAO,0.5454545454545454,0.125,0.20338983050847456,6,48,11
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,RESSARCIMENTO,0.6,0.24193548387096775,0.3448275862068966,15,62,25
bilstm-crf__supervised,BiLSTM-CRF,MULTA,0.7986111111111112,0.5528846153846154,0.6534090909090909,115,208,144
bilstm-crf__supervised,BiLSTM-CRF,OBRIGACAO,0.8488372093023255,0.5793650793650794,0.6886792452830189,73,126,86
bilstm-crf__supervised,BiLSTM-CRF,RECOMENDACAO,0.45,0.16981132075471697,0.2465753424657534,9,53,20
bilstm-crf__supervised,BiLSTM-CRF,RESSARCIMENTO,0.6551724137931034,0.30158730158730157,0.4130434782608695,19,63,29
