model_a,model_b,display_a,display_b,f1_a,f1_b,diff_f1,ci_lower,ci_upper,p_value,significant_95
gpt-4-turbo,gpt-41-nano,GPT-4 Turbo,GPT-4.1-nano,0.7321428571428572,0.4186440677966102,0.31390104732445306,0.27181714158388204,0.3577392521773223,0.0,True
gpt-5.4-mini_few_shot,gpt-41-nano,GPT-5.4-mini,GPT-4.1-nano,0.7269035532994924,0.4186440677966102,0.3089010199218967,0.26352230603411064,0.35586469849946983,0.0,True
gpt-4o,gpt-41-nano,GPT-4o,GPT-4.1-nano,0.723658051689861,0.4186440677966102,0.30552499908603076,0.2665368362383986,0.3462435546227931,0.0,True
gpt-5.4-nano_few_shot,gpt-41-nano,GPT-5.4-nano,GPT-4.1-nano,0.7228915662650601,0.4186440677966102,0.304679708164682,0.2608720934436185,0.34883102796637677,0.0,True
gpt-41-mini,gpt-41-nano,GPT-4.1-mini,GPT-4.1-nano,0.7107601184600196,0.4186440677966102,0.29246139405091337,0.25082773637088174,0.3363718120360108,0.0,True
gpt-35,gpt-41-nano,GPT-3.5,GPT-4.1-nano,0.7064676616915423,0.4186440677966102,0.2881329435210196,0.24497005073481165,0.33270317197047106,0.0,True
gpt-41,gpt-41-nano,GPT-4.1,GPT-4.1-nano,0.7052023121387283,0.4186440677966102,0.2868086885104415,0.24439018995227985,0.3300609685096932,0.0,True
gemini-2.5-flash_few_shot,gpt-41-nano,Gemini-2.5-flash,GPT-4.1-nano,0.6867119301648884,0.4186440677966102,0.26831111937377244,0.223601300514081,0.31315555297383607,0.0,True
neuralmind_bert-base-portuguese-cased__supervised,gpt-41-nano,BERTimbau-base,GPT-4.1-nano,0.6785714285714286,0.4186440677966102,0.2597602011468734,0.21015280034150302,0.30857610041934896,0.0,True
deepseek-v3_few_shot,gpt-41-nano,DeepSeek-V3,GPT-4.1-nano,0.6458923512747876,0.4186440677966102,0.22742479409005065,0.18427951401251555,0.2720453446724232,0.0,True
rufimelo_Legal-BERTimbau-base__supervised,gpt-41-nano,Legal-BERTimbau-base,GPT-4.1-nano,0.6021180030257186,0.4186440677966102,0.18311992281212552,0.12954417482059796,0.23537422473289346,0.0,True
neuralmind_bert-large-portuguese-cased__supervised,gpt-41-nano,BERTimbau-large,GPT-4.1-nano,0.6018237082066868,0.4186440677966102,0.18273477207558536,0.12523041087885786,0.2385662540651685,0.0,True
bilstm-crf__supervised,gpt-41-nano,BiLSTM-CRF,GPT-4.1-nano,0.5925925925925926,0.4186440677966102,0.17404089920647042,0.11053958430082056,0.2370092624084147,0.0,True
gpt-4-turbo,bilstm-crf__supervised,GPT-4 Turbo,BiLSTM-CRF,0.7321428571428572,0.5925925925925926,0.13986014811798259,0.07817937645006189,0.20179428456940202,0.0,True
gpt-5.4-mini_few_shot,bilstm-crf__supervised,GPT-5.4-mini,BiLSTM-CRF,0.7269035532994924,0.5925925925925926,0.13486012071542627,0.06821308652944222,0.20081469115114256,0.0002,True
gpt-4o,bilstm-crf__supervised,GPT-4o,BiLSTM-CRF,0.723658051689861,0.5925925925925926,0.13148409987956036,0.06871304571043026,0.19297611862254163,0.0,True
gpt-4-turbo,neuralmind_bert-large-portuguese-cased__supervised,GPT-4 Turbo,BERTimbau-large,0.7321428571428572,0.6018237082066868,0.1311662752488677,0.07588702875701692,0.18981226827908482,0.0,True
