model,technique,token_f1,span_f1,span_f1_macro,span_precision,span_recall
deepseek-v3,cot,0.6016746411483254,0.512273212379936,0.40120146843560495,0.502092050209205,0.5228758169934641
deepseek-v3,dynamic_few_shot,0.6789044101042037,0.5372881355932203,0.5019691266078526,0.43966712898751736,0.690631808278867
deepseek-v3,few_shot,0.7422330016994175,0.6458923512747876,0.6002148433532399,0.57,0.7450980392156863
deepseek-v3,two_stage,0.7677630827938227,0.6717850287907869,0.6253355318550178,0.6003430531732419,0.7625272331154684
gemini-2.5-flash,cot,0.7751682236885086,0.711764705882353,0.7062535403285425,0.6470588235294118,0.7908496732026143
gemini-2.5-flash,dynamic_few_shot,0.7799064813612158,0.6879227053140097,0.6606788613737269,0.6180555555555556,0.775599128540305
gemini-2.5-flash,few_shot,0.761446326228347,0.6867119301648884,0.6706560752228096,0.6188811188811189,0.7712418300653595
gemini-2.5-flash,two_stage,0.7740383072925021,0.7025440313111546,0.6902656447894002,0.6376554174067496,0.7821350762527233
gpt-5.4-mini,cot,0.7927555936015577,0.707193515704154,0.6782466201469346,0.6609848484848485,0.7603485838779956
gpt-5.4-mini,dynamic_few_shot,0.753151659586226,0.6546184738955824,0.6188943661835059,0.6070763500931099,0.710239651416122
gpt-5.4-mini,few_shot,0.7931040276914287,0.7269035532994924,0.7006354627028482,0.6806083650190115,0.7799564270152506
gpt-5.4-mini,two_stage,0.7452459586302799,0.6555671175858481,0.61643712755468,0.6274900398406374,0.6862745098039216
gpt-5.4-nano,cot,0.7996283155938503,0.7332646755921729,0.7025377435013804,0.6953125,0.775599128540305
gpt-5.4-nano,dynamic_few_shot,0.7417156368441183,0.6687116564417178,0.646662492847748,0.630057803468208,0.7124183006535948
gpt-5.4-nano,few_shot,0.7876161408360454,0.7228915662650601,0.6996517724934992,0.6703910614525139,0.7843137254901961
gpt-5.4-nano,two_stage,0.7607338624613097,0.6914344685242518,0.6612995362004566,0.6568627450980392,0.7298474945533769
