model,display,token_f1,token_precision,token_recall,span_f1,span_precision,span_recall
gpt-4-turbo,GPT-4 Turbo,0.8096181794160391,0.8188134687332977,0.8006271230729031,0.7321428571428572,0.6721311475409836,0.803921568627451
gpt-5.4-mini_few_shot,GPT-5.4-mini,0.7931040276914287,0.8166937744402533,0.7708387771100078,0.7269035532994924,0.6806083650190115,0.7799564270152506
gpt-4o,GPT-4o,0.8038109857838884,0.8216332378223495,0.7867454925529135,0.723658051689861,0.6654478976234004,0.7930283224400871
gpt-5.4-nano_few_shot,GPT-5.4-nano,0.7876161408360454,0.8140969777251019,0.7628037627384374,0.7228915662650601,0.6703910614525139,0.7843137254901961
gpt-41-mini,GPT-4.1-mini,0.7915161862236523,0.7956435643564357,0.7874314084139012,0.7107601184600196,0.6498194945848376,0.7843137254901961
gpt-35,GPT-3.5,0.7890519582201936,0.8051881820963519,0.7735497778939117,0.7064676616915423,0.6501831501831502,0.7734204793028322
gpt-41,GPT-4.1,0.7945481918062718,0.7794921752246873,0.8101972824666841,0.7052023121387283,0.6321243523316062,0.7973856209150327
gemini-2.5-flash_few_shot,Gemini-2.5-flash,0.761446326228347,0.7507619047619047,0.7724392474523125,0.6867119301648884,0.6188811188811189,0.7712418300653595
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,0.7683311035345907,0.9505579582465695,0.6447325535074059,0.6785714285714286,0.7993527508090615,0.5894988066825776
deepseek-v3_few_shot,DeepSeek-V3,0.7422330016994175,0.7499416530523789,0.7346812124379409,0.6458923512747876,0.57,0.7450980392156863
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,0.6855267415522581,0.9474222193828659,0.5370658747691305,0.6021180030257186,0.8223140495867769,0.47494033412887826
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,0.6820369072646578,0.960650128314799,0.5287002498823018,0.6018237082066868,0.8284518828451883,0.47255369928400953
bilstm-crf__supervised,BiLSTM-CRF,0.7307419410512589,0.8454848014200134,0.6434215858435769,0.5925925925925926,0.7741935483870968,0.48
gpt-41-nano,GPT-4.1-nano,0.5738467079199817,0.575221529373154,0.572478442644369,0.4186440677966102,0.34257975034674065,0.5381263616557734
