model,display,iou_threshold,span_f1,span_f1_macro,span_precision,span_recall
gpt-4.1_few_shot,GPT-4.1,0.3,0.7784431137724551,0.766096456991948,0.6951871657754011,0.8843537414965986
gpt-4.1_few_shot,GPT-4.1,0.5,0.7365269461077845,0.7170071078425144,0.6577540106951871,0.8367346938775511
gpt-4.1_few_shot,GPT-4.1,0.7,0.6766467065868264,0.6535626522246905,0.6042780748663101,0.7687074829931972
gpt-4.1_few_shot,GPT-4.1,exact,0.22355289421157684,0.25888286318011244,0.19964349376114082,0.25396825396825395
gpt-4.1-mini_few_shot,GPT-4.1-mini,0.3,0.7342723004694836,0.7285478984943361,0.6266025641025641,0.8866213151927438
gpt-4.1-mini_few_shot,GPT-4.1-mini,0.5,0.6985915492957746,0.6837124174123413,0.5961538461538461,0.8435374149659864
gpt-4.1-mini_few_shot,GPT-4.1-mini,0.7,0.6366197183098592,0.6231001047320139,0.5432692307692307,0.7687074829931972
gpt-4.1-mini_few_shot,GPT-4.1-mini,exact,0.20469483568075117,0.2565382795320676,0.17467948717948717,0.2471655328798186
gpt-4.1-nano_few_shot,GPT-4.1-nano,0.3,0.4920913884007029,0.4537644399277465,0.4017216642754663,0.6349206349206349
gpt-4.1-nano_few_shot,GPT-4.1-nano,0.5,0.4340949033391916,0.3953493185695033,0.35437589670014347,0.5600907029478458
gpt-4.1-nano_few_shot,GPT-4.1-nano,0.7,0.3778558875219683,0.3406008311706428,0.3084648493543759,0.4875283446712018
gpt-4.1-nano_few_shot,GPT-4.1-nano,exact,0.1265377855887522,0.10253831950861957,0.10329985652797705,0.16326530612244897
gpt-5-mini_few_shot,GPT-5-mini,0.3,0.43557582668187006,0.5618408380435449,0.2909367859862909,0.8662131519274376
gpt-5-mini_few_shot,GPT-5-mini,0.5,0.41619156214367165,0.5309815345485064,0.277989337395278,0.8276643990929705
gpt-5-mini_few_shot,GPT-5-mini,0.7,0.3922462941847207,0.49697686366548377,0.261995430312262,0.780045351473923
gpt-5-mini_few_shot,GPT-5-mini,exact,0.08323831242873432,0.11933512262311032,0.055597867479055596,0.1655328798185941
gpt-5.1_few_shot,GPT-5.1,0.3,0.732090284592738,0.724353260550096,0.6453287197231834,0.8458049886621315
gpt-5.1_few_shot,GPT-5.1,0.5,0.7046123650637881,0.6910110208000455,0.6211072664359861,0.8140589569160998
gpt-5.1_few_shot,GPT-5.1,0.7,0.6555446516192346,0.63362508527894,0.5778546712802768,0.7573696145124716
gpt-5.1_few_shot,GPT-5.1,exact,0.23748773307163884,0.26869632770625923,0.2093425605536332,0.2743764172335601
gpt-5.2_few_shot,GPT-5.2,0.3,0.6619841966637401,0.6480211573650203,0.5401146131805158,0.854875283446712
gpt-5.2_few_shot,GPT-5.2,0.5,0.6198419666374012,0.594546639039342,0.505730659025788,0.800453514739229
gpt-5.2_few_shot,GPT-5.2,0.7,0.5654082528533801,0.5382682370195103,0.46131805157593125,0.7301587301587301
gpt-5.2_few_shot,GPT-5.2,exact,0.16856892010535557,0.20357380183180945,0.13753581661891118,0.21768707482993196
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,0.3,0.8152173913043479,0.7958832991976847,0.7828810020876826,0.8503401360544217
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,0.5,0.7695652173913043,0.7423222420016692,0.7390396659707724,0.8027210884353742
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,0.7,0.7217391304347827,0.698696054121748,0.6931106471816284,0.7528344671201814
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,exact,0.3173913043478261,0.3230455189732577,0.3048016701461378,0.3310657596371882
llama-3.3-70b_few_shot,Llama-3.3-70B,0.3,0.39102564102564097,0.30673030673030677,0.6666666666666666,0.2766439909297052
llama-3.3-70b_few_shot,Llama-3.3-70B,0.5,0.3557692307692307,0.2856083731083731,0.6065573770491803,0.25170068027210885
llama-3.3-70b_few_shot,Llama-3.3-70B,0.7,0.3173076923076923,0.25461590878257545,0.5409836065573771,0.22448979591836735
llama-3.3-70b_few_shot,Llama-3.3-70B,exact,0.05128205128205128,0.060020843354176685,0.08743169398907104,0.036281179138321996
