model_a,model_b,display_a,display_b,f1_a,f1_b,diff_f1,ci_lower,ci_upper,p_value,significant_95,p_holm,p_bonferroni,sig_holm_5pct,sig_bonferroni_5pct,family_size
deepseek-v4-flash_few_shot,llama-3.3-70b_few_shot,DeepSeek-V4-Flash,Llama-3.3-70B,0.7240618101545254,0.3395638629283489,0.3847279032463252,0.3171297356604348,0.45242800781655346,0.0,True,0.0,0.0,True,True,12
gpt-4.1-mini_few_shot,gpt-4.1-nano_few_shot,GPT-4.1-mini,GPT-4.1-nano,0.698292220113852,0.4010989010989011,0.29722929376128315,0.25097936881618993,0.3433769902945867,0.0,True,0.0,0.0,True,True,12
llama-3.3-70b_few_shot,qwen2.5-72b_few_shot,Llama-3.3-70B,Qwen2.5-72B,0.3395638629283489,0.6134615384615385,-0.27398129911096175,-0.3409953967352756,-0.20533256904575872,0.0,True,0.0,0.0,True,True,12
gpt-5.2_few_shot,llama-3.3-70b_few_shot,GPT-5.2,Llama-3.3-70B,0.6067415730337079,0.3395638629283489,0.2670564539861521,0.19694630029961618,0.3360735188944568,0.0,True,0.0,0.0,True,True,12
gpt-5.2_few_shot,deepseek-v4-flash_few_shot,GPT-5.2,DeepSeek-V4-Flash,0.6067415730337079,0.7240618101545254,-0.11767144926017323,-0.16807468321429725,-0.06563700972273366,0.0004,True,0.0024000000000000002,0.0048000000000000004,True,True,12
gpt-4.1_few_shot,gpt-5.2_few_shot,GPT-4.1,GPT-5.2,0.7151277013752456,0.6067415730337079,0.10851665092739529,0.07669804380319535,0.14205357158880458,0.0,True,0.0,0.0,True,True,12
neuralmind_bert-base-portuguese-cased__supervised,bilstm-crf__supervised,BERTimbau-base,BiLSTM-CRF,0.6785714285714286,0.5925925925925926,0.08571930194040299,0.030393629626683127,0.143810897644843,0.002,True,0.01,0.024,True,True,12
gpt-5.1_few_shot,gpt-5.2_few_shot,GPT-5.1,GPT-5.2,0.6846673095467696,0.6067415730337079,0.07791676964944509,0.04598574766172582,0.11040704435951,0.0,True,0.0,0.0,True,True,12
gpt-5.2_few_shot,neuralmind_bert-base-portuguese-cased__supervised,GPT-5.2,BERTimbau-base,0.6067415730337079,0.6785714285714286,-0.07147430628769866,-0.11738456636362848,-0.024010737783176223,0.0036,True,0.0144,0.0432,True,True,12
deepseek-v4-flash_few_shot,neuralmind_bert-base-portuguese-cased__supervised,DeepSeek-V4-Flash,BERTimbau-base,0.7240618101545254,0.6785714285714286,0.04619714297247455,-0.013289466758313441,0.10347754865938394,0.1264,False,0.37920000000000004,1.0,False,False,12
gpt-4.1_few_shot,gpt-4.1-mini_few_shot,GPT-4.1,GPT-4.1-mini,0.7151277013752456,0.698292220113852,0.016889687919610406,-0.006642264056746044,0.04045097049899115,0.1626,False,0.37920000000000004,1.0,False,False,12
gpt-5.2_few_shot,qwen2.5-72b_few_shot,GPT-5.2,Qwen2.5-72B,0.6067415730337079,0.6134615384615385,-0.006924845124809686,-0.04777785856724451,0.034071684369862965,0.7308,False,0.7308,1.0,False,False,12
