model,display,span_f1_mean,span_f1_std,span_f1_min,span_f1_max,span_f1_per_fold,token_f1_mean,token_f1_std,token_f1_min,token_f1_max,token_f1_per_fold,config
bilstm-crf__supervised,BiLSTM-CRF,0.6425287435085317,0.10165808599989666,0.5137614678899082,0.7536231884057971,0.5138; 0.7283; 0.5714; 0.7536; 0.6456,0.765121833046271,0.06737900869965367,0.6597609561752988,0.845114813147231,0.6598; 0.7902; 0.7614; 0.8451; 0.7691,"{""hidden_dim"": 256, ""dropout"": 0.3, ""lr"": 0.003}"
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,0.69662686974799,0.06706804794298299,0.6176470588235294,0.8031496062992126,0.6885; 0.6957; 0.6782; 0.8031; 0.6176,0.7384038049470533,0.05799988411414396,0.6587626056146089,0.8011560693641618,0.7493; 0.8012; 0.7024; 0.7804; 0.6588,"{""model_name"": ""neuralmind/bert-base-portuguese-cased"", ""lr"": 5e-05, ""warmup_ratio"": 0.1}"
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,0.5989130465494101,0.10098664355022795,0.48000000000000004,0.735042735042735,0.5950; 0.6556; 0.4800; 0.7350; 0.5289,0.6347814228793187,0.0931922287009263,0.5382059800664452,0.732528130484154,0.6502; 0.7325; 0.5385; 0.7145; 0.5382,"{""model_name"": ""neuralmind/bert-large-portuguese-cased"", ""lr"": 2e-05, ""warmup_ratio"": 0.1}"
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,0.5889992794613421,0.1459893573768835,0.37777777777777777,0.7642276422764227,0.3778; 0.6776; 0.5814; 0.7642; 0.5440,0.6169449525745738,0.1541129665730829,0.3812513078049801,0.7593378027089889,0.3813; 0.7406; 0.6431; 0.7593; 0.5604,"{""model_name"": ""rufimelo/Legal-BERTimbau-base"", ""lr"": 5e-05, ""warmup_ratio"": 0.1}"
alfaneo_jurisbert-base-portuguese-uncased__supervised,JurisBERT,0.6297364850920324,0.04740362795368712,0.5810055865921788,0.6991869918699186,0.6195; 0.5960; 0.5810; 0.6992; 0.6531,0.6721816012662747,0.050315924763507616,0.5976267529665588,0.734778549942952,0.6709; 0.7348; 0.5976; 0.6956; 0.6621,"{""model_name"": ""alfaneo/jurisbert-base-portuguese-uncased"", ""lr"": 3e-05, ""warmup_ratio"": 0.1}"
alfaneo_bertimbaulaw-base-portuguese-cased__supervised,BERTimbauLaw,0.647931912101001,0.07299662921130297,0.5483870967741936,0.7384615384615385,0.6050; 0.6772; 0.6705; 0.7385; 0.5484,0.6814983155050367,0.08098104460358076,0.5541448842419716,0.7635740908633021,0.6702; 0.7636; 0.6820; 0.7376; 0.5541,"{""model_name"": ""alfaneo/bertimbaulaw-base-portuguese-cased"", ""lr"": 5e-05, ""warmup_ratio"": 0.1}"
raquelsilveira_legalbertpt_fp__supervised,LegalBert-pt,0.6750801188860891,0.03895460099605315,0.6303030303030304,0.7164179104477612,0.6667; 0.7164; 0.6477; 0.7143; 0.6303,0.7294027515749495,0.047698233999571536,0.6755295178008112,0.7985729437855559,0.7521; 0.7986; 0.6755; 0.7198; 0.7010,"{""model_name"": ""raquelsilveira/legalbertpt_fp"", ""lr"": 5e-05, ""warmup_ratio"": 0.0}"
ulysses-camara_legal-bert-pt-br__supervised,LegalBERTPT-br,0.5383552711414623,0.1088533006907329,0.42718446601941745,0.6595744680851063,0.4272; 0.6596; 0.4533; 0.6476; 0.5041,0.5805938760805718,0.1038254397341337,0.4900922111045713,0.7253778009379885,0.4901; 0.7254; 0.5046; 0.6545; 0.5283,"{""model_name"": ""ulysses-camara/legal-bert-pt-br"", ""lr"": 5e-05, ""warmup_ratio"": 0.0}"
dominguesm_legal-bert-base-cased-ptbr__supervised,Legal-BERT-STF,0.65809463718309,0.0807401381287649,0.5789473684210527,0.7751937984496124,0.5789; 0.6915; 0.5875; 0.7752; 0.6573,0.676996358170277,0.08426711132216103,0.6036376733297317,0.7848854507587028,0.6036; 0.7849; 0.6042; 0.7478; 0.6444,"{""model_name"": ""dominguesm/legal-bert-base-cased-ptbr"", ""lr"": 5e-05, ""warmup_ratio"": 0.1}"
dccmpmgfinalisticas_GovBERT-BR__supervised,GovBERT-BR,0.5436321557358336,0.09524646945995427,0.4489795918367347,0.6936416184971097,0.4490; 0.6936; 0.5000; 0.5000; 0.5755,0.5701228252256747,0.0942524029492384,0.4901540261259505,0.7195677508210615,0.4902; 0.7196; 0.5141; 0.5211; 0.6057,"{""model_name"": ""dccmpmgfinalisticas/GovBERT-BR"", ""lr"": 5e-05, ""warmup_ratio"": 0.0}"
