display,MULTA,OBRIGACAO,RECOMENDACAO,RESSARCIMENTO
BERTimbau-base,0.7835616438356164,0.6736842105263159,0.3225806451612903,0.5405405405405406
BERTimbau-large,0.7177914110429446,0.6451612903225806,0.20338983050847456,0.3448275862068966
BiLSTM-CRF,0.6534090909090909,0.6886792452830189,0.2465753424657534,0.4130434782608695
DeepSeek-V3,0.7668161434977578,0.5942492012779552,0.5207100591715977,0.5190839694656489
GPT-3.5,0.7865168539325843,0.6330935251798561,0.642857142857143,0.6619718309859155
GPT-4 Turbo,0.8117913832199547,0.6413793103448276,0.6524822695035462,0.7500000000000001
GPT-4.1,0.7863636363636364,0.6312500000000001,0.5850340136054423,0.7480916030534351
GPT-4.1-mini,0.7789934354485777,0.6527777777777778,0.6153846153846153,0.704
GPT-4.1-nano,0.7074829931972789,0.2548076923076923,0.07526881720430108,0.4525547445255474
GPT-4o,0.8081264108352145,0.6312056737588653,0.6714285714285714,0.6950354609929079
GPT-5.4-mini,0.8074245939675174,0.6618181818181817,0.6714285714285714,0.6618705035971223
GPT-5.4-nano,0.7837837837837837,0.6813186813186813,0.642857142857143,0.6906474820143885
Gemini-2.5-flash,0.7877358490566037,0.5882352941176471,0.624113475177305,0.6825396825396826
Legal-BERTimbau-base,0.7548209366391183,0.6242774566473989,0.07272727272727272,0.1714285714285714
