model,display,span_f1_point,span_f1_mean,span_f1_std,ci_lower,ci_upper,ci_width
gpt-4-turbo,GPT-4 Turbo,0.7321428571428572,0.7323951832925921,0.02184614060106241,0.6881072874493926,0.7744437676151471,0.08633648016575446
gpt-5.4-mini_few_shot,GPT-5.4-mini,0.7269035532994924,0.7273951558900358,0.023564040770461127,0.6794716659034129,0.7730901820822106,0.09361851617879768
gpt-4o,GPT-4o,0.723658051689861,0.7240191350541699,0.022834317672520654,0.6790492762020907,0.7672821186719342,0.08823284246984353
gpt-5.4-nano_few_shot,GPT-5.4-nano,0.7228915662650601,0.723173844132821,0.02238634322189412,0.6790799561883899,0.7656619809919523,0.08658202480356236
gpt-41-mini,GPT-4.1-mini,0.7107601184600196,0.7109555300190524,0.02218313250650813,0.6673882712332389,0.7546778058847025,0.08728953465146361
gpt-35,GPT-3.5,0.7064676616915423,0.7066270794891587,0.023896199220816983,0.6593401087890066,0.7530726785516085,0.09373256976260191
gpt-41,GPT-4.1,0.7052023121387283,0.7053028244785806,0.02129055143578589,0.6634520329995206,0.7465281778033794,0.08307614480385883
gemini-2.5-flash_few_shot,Gemini-2.5-flash,0.6867119301648884,0.6868052553419116,0.021438413719623975,0.6435521770144201,0.7279154051797566,0.08436322816533648
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,0.6785714285714286,0.6782543371150125,0.02725710144065538,0.6242925012840267,0.7300380228136882,0.10574552152966155
deepseek-v3_few_shot,DeepSeek-V3,0.6458923512747876,0.6459189300581898,0.02323064855730867,0.5996371605863734,0.6901300646027076,0.09049290401633425
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,0.6021180030257186,0.6016140587802645,0.030314402392045813,0.5409836065573771,0.659306860332097,0.11832325377471986
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,0.6018237082066868,0.6012289080437244,0.0314333477410633,0.5383457469965995,0.6615620214395099,0.12321627444291039
bilstm-crf__supervised,BiLSTM-CRF,0.5925925925925926,0.5925350351746095,0.03292003549297994,0.526895828625661,0.6568931564312083,0.1299973278055473
gpt-41-nano,GPT-4.1-nano,0.4186440677966102,0.418494135968139,0.02219289148085299,0.37568010063472856,0.4616881399393906,0.08600803930466205
