model,display,span_f1_point,span_f1_mean,span_f1_std,ci_lower,ci_upper,ci_width
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,0.7240618101545254,0.724451480087487,0.026057882728533845,0.6724127392294075,0.77433317808665,0.10192043885724256
gpt-4.1_few_shot,GPT-4.1,0.7151277013752456,0.7152966817547092,0.022212959477004086,0.6711798839458414,0.7583056230216229,0.08712573907578147
gpt-4.1-mini_few_shot,GPT-4.1-mini,0.698292220113852,0.6984069938350987,0.021549907350627007,0.6555844711758675,0.7405858804700834,0.08500140929421596
gpt-5.1_few_shot,GPT-5.1,0.6846673095467696,0.684696800476759,0.022213130833485854,0.6404911856356145,0.7276382930914735,0.08714710745585907
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,0.6785714285714286,0.6782543371150125,0.02725710144065538,0.6242925012840267,0.7300380228136882,0.10574552152966155
qwen2.5-72b_few_shot,Qwen2.5-72B,0.6134615384615385,0.6137048759521235,0.02172311058980428,0.5703195013972784,0.6560854932690375,0.08576599187175915
gpt-5.2_few_shot,GPT-5.2,0.6067415730337079,0.6067800308273138,0.02146805261472912,0.5635354616948909,0.6478003547814868,0.0842648930865959
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,0.6021180030257186,0.6016140587802645,0.030314402392045813,0.5409836065573771,0.659306860332097,0.11832325377471986
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,0.6018237082066868,0.6012289080437244,0.0314333477410633,0.5383457469965995,0.6615620214395099,0.12321627444291039
bilstm-crf__supervised,BiLSTM-CRF,0.5925925925925926,0.5925350351746095,0.03292003549297994,0.526895828625661,0.6568931564312083,0.1299973278055473
gpt-5-mini_few_shot,GPT-5-mini,0.40970654627539504,0.40941153012923714,0.01759167941245787,0.37462043394671785,0.44308052755909416,0.06846009361237632
gpt-4.1-nano_few_shot,GPT-4.1-nano,0.4010989010989011,0.40117770007381554,0.02298658410974007,0.3559484525773711,0.4466411268965666,0.09069267431919548
llama-3.3-70b_few_shot,Llama-3.3-70B,0.3395638629283489,0.3397235768411618,0.03253513949621257,0.2763966685488425,0.40449508779854326,0.12809841924970078
