model,technique,label,f1,precision,recall
deepseek-v3,cot,MULTA,0.7040358744394619,0.6709401709401709,0.7405660377358491
deepseek-v3,cot,OBRIGACAO,0.3730569948186529,0.5806451612903226,0.2748091603053435
deepseek-v3,cot,RECOMENDACAO,0.16,0.2727272727272727,0.11320754716981132
deepseek-v3,cot,RESSARCIMENTO,0.36771300448430494,0.25625,0.6507936507936508
deepseek-v3,dynamic_few_shot,MULTA,0.7418655097613882,0.6867469879518072,0.8066037735849056
deepseek-v3,dynamic_few_shot,OBRIGACAO,0.40114613180515757,0.3211009174311927,0.5343511450381679
deepseek-v3,dynamic_few_shot,RECOMENDACAO,0.32432432432432434,0.21301775147928995,0.6792452830188679
deepseek-v3,dynamic_few_shot,RESSARCIMENTO,0.5405405405405405,0.47058823529411764,0.6349206349206349
deepseek-v3,few_shot,MULTA,0.7668161434977578,0.7307692307692307,0.8066037735849056
deepseek-v3,few_shot,OBRIGACAO,0.5942492012779552,0.510989010989011,0.7099236641221374
deepseek-v3,few_shot,RECOMENDACAO,0.5207100591715977,0.3793103448275862,0.8301886792452831
deepseek-v3,few_shot,RESSARCIMENTO,0.5190839694656489,0.5,0.5396825396825397
deepseek-v3,two_stage,MULTA,0.7785234899328858,0.7404255319148936,0.8207547169811321
deepseek-v3,two_stage,OBRIGACAO,0.6482758620689655,0.5911949685534591,0.7175572519083969
deepseek-v3,two_stage,RECOMENDACAO,0.5421686746987951,0.39823008849557523,0.8490566037735849
deepseek-v3,two_stage,RESSARCIMENTO,0.5323741007194245,0.4868421052631579,0.5873015873015873
gemini-2.5-flash,cot,MULTA,0.7981220657276995,0.794392523364486,0.8018867924528302
gemini-2.5-flash,cot,OBRIGACAO,0.6012269938650306,0.5025641025641026,0.7480916030534351
gemini-2.5-flash,cot,RECOMENDACAO,0.647887323943662,0.5168539325842697,0.8679245283018868
gemini-2.5-flash,cot,RESSARCIMENTO,0.7777777777777778,0.7777777777777778,0.7777777777777778
gemini-2.5-flash,dynamic_few_shot,MULTA,0.7981438515081206,0.7853881278538812,0.8113207547169812
gemini-2.5-flash,dynamic_few_shot,OBRIGACAO,0.6006389776357828,0.5164835164835165,0.7175572519083969
gemini-2.5-flash,dynamic_few_shot,RECOMENDACAO,0.5822784810126582,0.4380952380952381,0.8679245283018868
gemini-2.5-flash,dynamic_few_shot,RESSARCIMENTO,0.6616541353383458,0.6285714285714286,0.6984126984126984
gemini-2.5-flash,few_shot,MULTA,0.7877358490566037,0.7877358490566038,0.7877358490566038
gemini-2.5-flash,few_shot,OBRIGACAO,0.5882352941176471,0.4784688995215311,0.7633587786259542
gemini-2.5-flash,few_shot,RECOMENDACAO,0.624113475177305,0.5,0.8301886792452831
gemini-2.5-flash,few_shot,RESSARCIMENTO,0.6825396825396826,0.6825396825396826,0.6825396825396826
gemini-2.5-flash,two_stage,MULTA,0.8113207547169812,0.8113207547169812,0.8113207547169812
gemini-2.5-flash,two_stage,OBRIGACAO,0.5783132530120483,0.47761194029850745,0.732824427480916
gemini-2.5-flash,two_stage,RECOMENDACAO,0.6571428571428571,0.5287356321839081,0.8679245283018868
gemini-2.5-flash,two_stage,RESSARCIMENTO,0.7142857142857143,0.7142857142857143,0.7142857142857143
gpt-5.4-mini,cot,MULTA,0.7606263982102908,0.723404255319149,0.8018867924528302
gpt-5.4-mini,cot,OBRIGACAO,0.7049808429118773,0.7076923076923077,0.7022900763358778
gpt-5.4-mini,cot,RECOMENDACAO,0.6330935251798562,0.5116279069767442,0.8301886792452831
gpt-5.4-mini,cot,RESSARCIMENTO,0.6142857142857143,0.5584415584415584,0.6825396825396826
gpt-5.4-mini,dynamic_few_shot,MULTA,0.7394209354120267,0.70042194092827,0.7830188679245284
gpt-5.4-mini,dynamic_few_shot,OBRIGACAO,0.606060606060606,0.6015037593984962,0.6106870229007634
gpt-5.4-mini,dynamic_few_shot,RECOMENDACAO,0.5833333333333334,0.46153846153846156,0.7924528301886793
gpt-5.4-mini,dynamic_few_shot,RESSARCIMENTO,0.5467625899280575,0.5,0.6031746031746031
gpt-5.4-mini,few_shot,MULTA,0.8074245939675174,0.7945205479452054,0.8207547169811321
gpt-5.4-mini,few_shot,OBRIGACAO,0.6618181818181817,0.6319444444444444,0.6946564885496184
gpt-5.4-mini,few_shot,RECOMENDACAO,0.6714285714285714,0.5402298850574713,0.8867924528301887
gpt-5.4-mini,few_shot,RESSARCIMENTO,0.6618705035971223,0.6052631578947368,0.7301587301587301
gpt-5.4-mini,two_stage,MULTA,0.7610208816705337,0.7488584474885844,0.7735849056603774
gpt-5.4-mini,two_stage,OBRIGACAO,0.575875486381323,0.5873015873015873,0.5648854961832062
gpt-5.4-mini,two_stage,RECOMENDACAO,0.5467625899280576,0.4418604651162791,0.7169811320754716
gpt-5.4-mini,two_stage,RESSARCIMENTO,0.582089552238806,0.5492957746478874,0.6190476190476191
gpt-5.4-nano,cot,MULTA,0.8167053364269142,0.8036529680365296,0.8301886792452831
gpt-5.4-nano,cot,OBRIGACAO,0.6743295019157088,0.676923076923077,0.6717557251908397
gpt-5.4-nano,cot,RECOMENDACAO,0.642857142857143,0.5172413793103449,0.8490566037735849
gpt-5.4-nano,cot,RESSARCIMENTO,0.6762589928057554,0.618421052631579,0.746031746031746
gpt-5.4-nano,dynamic_few_shot,MULTA,0.7404063205417608,0.70995670995671,0.7735849056603774
gpt-5.4-nano,dynamic_few_shot,OBRIGACAO,0.5931558935361217,0.5909090909090909,0.5954198473282443
gpt-5.4-nano,dynamic_few_shot,RECOMENDACAO,0.5915492957746479,0.47191011235955055,0.7924528301886793
gpt-5.4-nano,dynamic_few_shot,RESSARCIMENTO,0.6615384615384614,0.6417910447761194,0.6825396825396826
gpt-5.4-nano,few_shot,MULTA,0.7837837837837837,0.75,0.8207547169811321
gpt-5.4-nano,few_shot,OBRIGACAO,0.6813186813186813,0.6549295774647887,0.7099236641221374
gpt-5.4-nano,few_shot,RECOMENDACAO,0.642857142857143,0.5172413793103449,0.8490566037735849
gpt-5.4-nano,few_shot,RESSARCIMENTO,0.6906474820143885,0.631578947368421,0.7619047619047619
gpt-5.4-nano,two_stage,MULTA,0.7845804988662132,0.7554585152838428,0.8160377358490566
gpt-5.4-nano,two_stage,OBRIGACAO,0.5992217898832685,0.6111111111111112,0.5877862595419847
gpt-5.4-nano,two_stage,RECOMENDACAO,0.5285714285714286,0.42528735632183906,0.6981132075471698
gpt-5.4-nano,two_stage,RESSARCIMENTO,0.7328244274809159,0.7058823529411765,0.7619047619047619
