model_a,model_b,display_a,display_b,f1_a,f1_b,diff_f1,ci_lower,ci_upper,p_value,significant_95
gpt-4-turbo,gpt-41-nano,GPT-4 Turbo,GPT-4.1-nano,0.7321428571428572,0.4186440677966102,0.31390104732445306,0.27181714158388204,0.3577392521773223,0.0,True
gpt-4-turbo,bilstm-crf__supervised,GPT-4 Turbo,BiLSTM-CRF,0.7321428571428572,0.5925925925925926,0.13986014811798259,0.07817937645006189,0.20179428456940202,0.0,True
gpt-4-turbo,rufimelo_Legal-BERTimbau-base__supervised,GPT-4 Turbo,Legal-BERTimbau-base,0.7321428571428572,0.6021180030257186,0.13078112451232754,0.0784178472308822,0.1847594426649361,0.0,True
gpt-5.4-mini_few_shot,rufimelo_Legal-BERTimbau-base__supervised,GPT-5.4-mini,Legal-BERTimbau-base,0.7269035532994924,0.6021180030257186,0.1257810971097712,0.07094548592791708,0.1801698416749795,0.0,True
gpt-4-turbo,deepseek-v3_few_shot,GPT-4 Turbo,DeepSeek-V3,0.7321428571428572,0.6458923512747876,0.08647625323440243,0.05151389521860519,0.12182710122213859,0.0,True
neuralmind_bert-base-portuguese-cased__supervised,bilstm-crf__supervised,BERTimbau-base,BiLSTM-CRF,0.6785714285714286,0.5925925925925926,0.08571930194040299,0.030393629626683127,0.143810897644843,0.002,True
rufimelo_Legal-BERTimbau-base__supervised,neuralmind_bert-base-portuguese-cased__supervised,Legal-BERTimbau-base,BERTimbau-base,0.6021180030257186,0.6785714285714286,-0.07664027833474793,-0.11750578156193055,-0.03749145348481011,0.0002,True
gpt-4-turbo,neuralmind_bert-base-portuguese-cased__supervised,GPT-4 Turbo,BERTimbau-base,0.7321428571428572,0.6785714285714286,0.054140846177579624,0.00804185231803663,0.10205796349567148,0.02,True
gpt-4-turbo,gemini-2.5-flash_few_shot,GPT-4 Turbo,Gemini-2.5-flash,0.7321428571428572,0.6867119301648884,0.04558992795068059,0.015478357745727455,0.07486987333086997,0.0042,True
gpt-4-turbo,gpt-4o,GPT-4 Turbo,GPT-4o,0.7321428571428572,0.723658051689861,0.008376048238422263,-0.023080615189416818,0.04146768119492866,0.613,False
gpt-4-turbo,gpt-5.4-mini_few_shot,GPT-4 Turbo,GPT-5.4-mini,0.7321428571428572,0.7269035532994924,0.005000027402556337,-0.03280966044739372,0.04501156066515332,0.8116,False
gpt-5.4-mini_few_shot,gpt-4o,GPT-5.4-mini,GPT-4o,0.7269035532994924,0.723658051689861,0.003376020835865924,-0.027924408000343143,0.03508373532030258,0.8452,False
