model,display,n_docs_full,n_docs_informative,span_f1_full,span_f1_informative,delta_span_f1,span_precision_full,span_precision_informative,delta_span_precision,span_recall_full,span_recall_informative
gpt-41,GPT-4.1,861,232,0.7052023121387283,0.7896440129449838,0.08444170080625546,0.6321243523316062,0.782051282051282,0.1499269297196758,0.7973856209150327,0.7973856209150327
gpt-4-turbo,GPT-4 Turbo,861,232,0.7321428571428572,0.7893048128342246,0.057161955691367394,0.6721311475409836,0.7752100840336135,0.10307893649262989,0.803921568627451,0.803921568627451
gpt-4o,GPT-4o,861,232,0.723658051689861,0.7777777777777777,0.05411972608791671,0.6654478976234004,0.7631027253668763,0.09765482774347589,0.7930283224400871,0.7930283224400871
gpt-5.4-mini_few_shot,GPT-5.4-mini,861,232,0.7269035532994924,0.774054054054054,0.04715050075456162,0.6806083650190115,0.7682403433476395,0.08763197832862801,0.7799564270152506,0.7799564270152506
gpt-5.4-nano_few_shot,GPT-5.4-nano,861,232,0.7228915662650601,0.773361976369495,0.05047041010443487,0.6703910614525139,0.7627118644067796,0.0923208029542657,0.7843137254901961,0.7843137254901961
gpt-41-mini,GPT-4.1-mini,861,232,0.7107601184600196,0.7643312101910827,0.053571091731063114,0.6498194945848376,0.7453416149068323,0.0955221203219947,0.7843137254901961,0.7843137254901961
gpt-35,GPT-3.5,861,232,0.7064676616915423,0.7609860664523043,0.054518404760761974,0.6501831501831502,0.7489451476793249,0.09876199749617465,0.7734204793028322,0.7734204793028322
gemini-2.5-flash_few_shot,Gemini-2.5-flash,861,232,0.6867119301648884,0.7329192546583853,0.04620732449349685,0.6188811188811189,0.6982248520710059,0.07934373318988708,0.7712418300653595,0.7712418300653595
deepseek-v3_few_shot,DeepSeek-V3,861,232,0.6458923512747876,0.7177334732423926,0.07184112196760495,0.57,0.6923076923076923,0.12230769230769234,0.7450980392156863,0.7450980392156863
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,861,232,0.6785714285714286,0.6889818688981869,0.010410440326758308,0.7993527508090615,0.8288590604026845,0.029506309593622992,0.5894988066825776,0.5894988066825776
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,861,232,0.6021180030257186,0.6123076923076923,0.010189689281973724,0.8223140495867769,0.8614718614718615,0.039157811885084604,0.47494033412887826,0.47494033412887826
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,861,232,0.6018237082066868,0.611111111111111,0.009287402904424202,0.8284518828451883,0.8646288209606987,0.03617693811551037,0.47255369928400953,0.47255369928400953
bilstm-crf__supervised,BiLSTM-CRF,861,232,0.5925925925925926,0.6075949367088608,0.015002344116268218,0.7741935483870968,0.8275862068965517,0.05339265850945496,0.48,0.48
gpt-41-nano,GPT-4.1-nano,861,232,0.4186440677966102,0.476374156219865,0.05773008842325483,0.34257975034674065,0.4273356401384083,0.08475588979166765,0.5381263616557734,0.5381263616557734
