model,display,token_f1,token_f1_macro,token_precision,token_recall,span_f1,span_f1_macro,span_precision,span_recall
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,0.8085765863959944,0.7694847772054827,0.844744146324105,0.7753788868565455,0.7526652452025585,0.730624323478386,0.7369519832985386,0.7690631808278867
gpt-4.1_few_shot,GPT-4.1,0.8001941590486207,0.7647556752392449,0.7928436307672577,0.8076822576430625,0.7215686274509804,0.7061870978386404,0.6559714795008913,0.8017429193899782
gpt-4.1-mini_few_shot,GPT-4.1-mini,0.7811649171401143,0.7438816455028147,0.7537737281700835,0.8106218970472955,0.6851338873499538,0.6742928296141675,0.594551282051282,0.8082788671023965
gpt-5.1_few_shot,GPT-5.1,0.7699709426951841,0.7365115219873013,0.7491888885455613,0.791938855500392,0.6846673095467696,0.67451227903038,0.6141868512110726,0.7734204793028322
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,0.7683311035345907,0.6318305667920537,0.9505579582465695,0.6447325535074059,0.6785714285714286,0.5800917600159408,0.7993527508090615,0.5894988066825776
qwen2.5-72b_few_shot,Qwen2.5-72B,0.7022946260057614,0.6581720482077866,0.7120795004364466,0.692775019597596,0.6134615384615385,0.5778258331756475,0.5490533562822719,0.6949891067538126
gpt-5.2_few_shot,GPT-5.2,0.741532270357611,0.7024047363308311,0.6952209455210656,0.7944538803240135,0.6067415730337079,0.5852152841061593,0.502865329512894,0.7647058823529411
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,0.6855267415522581,0.42421924019278123,0.9474222193828659,0.5370658747691305,0.6021180030257186,0.4058135593605903,0.8223140495867769,0.47494033412887826
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,0.6820369072646578,0.5103063819240986,0.960650128314799,0.5287002498823018,0.6018237082066868,0.4777925295202241,0.8284518828451883,0.47255369928400953
bilstm-crf__supervised,BiLSTM-CRF,0.7307419410512589,0.5637528103126178,0.8454848014200134,0.6434215858435769,0.5925925925925926,0.5004267892296832,0.7741935483870968,0.48
gpt-4.1-nano_few_shot,GPT-4.1-nano,0.5795407512871877,0.4964958639302919,0.587605331184745,0.5716945388032402,0.43252595155709345,0.3942714478112034,0.3586800573888092,0.5446623093681917
gpt-5-mini_few_shot,GPT-5-mini,0.5720780494559385,0.621502597600692,0.4422895070208932,0.8096746799059316,0.40970654627539504,0.5241862525134205,0.27646610814927647,0.7908496732026143
llama-3.3-70b_few_shot,Llama-3.3-70B,0.402299676607977,0.2788997879965319,0.7545152304789289,0.27426835641494646,0.3395638629283489,0.2734420698696083,0.5956284153005464,0.2374727668845316
