model,display,n_docs,mean_input_chars,mean_output_chars,approx_mean_input_tokens,approx_mean_output_tokens,total_input_chars,total_output_chars,input_cost_per_1M_USD,output_cost_per_1M_USD,estimated_total_cost_USD
gpt-4-turbo,GPT-4 Turbo,861,876.3670150987224,284.7746806039489,219.0917537746806,71.19367015098723,754552,245191,,,
gpt-5.4-mini_few_shot,GPT-5.4-mini,861,876.3704994192799,281.0360046457607,219.09262485481997,70.25900116144018,754555,241972,,,
gpt-4o,GPT-4o,861,876.3670150987224,281.44483159117306,219.0917537746806,70.36120789779326,754552,242324,,,
gpt-5.4-nano_few_shot,GPT-5.4-nano,861,876.3704994192799,281.5226480836237,219.09262485481997,70.38066202090593,754555,242391,,,
gpt-41-mini,GPT-4.1-mini,861,876.3670150987224,290.66550522648083,219.0917537746806,72.66637630662021,754552,250263,,,
gpt-35,GPT-3.5,861,876.3670150987224,282.4123112659698,219.0917537746806,70.60307781649244,754552,243157,,,
gpt-41,GPT-4.1,861,876.3670150987224,298.51451800232286,219.0917537746806,74.62862950058071,754552,257021,,,
gemini-2.5-flash_few_shot,Gemini-2.5-flash,861,876.3704994192799,295.86875725900114,219.09262485481997,73.96718931475029,754555,254743,,,
deepseek-v3_few_shot,DeepSeek-V3,861,876.3704994192799,291.6957026713124,219.09262485481997,72.9239256678281,754555,251150,,,
gpt-41-nano,GPT-4.1-nano,861,876.3670150987224,312.98606271777004,219.0917537746806,78.24651567944251,754552,269481,,,
