reference,model,display,is_supervised,span_f1,span_f1_macro
anotador1,gpt-4.1_few_shot,GPT-4.1,False,0.7365269461077845,0.7170071078425144
anotador1,gpt-4.1-mini_few_shot,GPT-4.1-mini,False,0.6985915492957746,0.6837124174123413
anotador1,gpt-4.1-nano_few_shot,GPT-4.1-nano,False,0.43409490333919154,0.3953493185695032
anotador1,gpt-5-mini_few_shot,GPT-5-mini,False,0.4161915621436716,0.5309815345485064
anotador1,gpt-5.1_few_shot,GPT-5.1,False,0.704612365063788,0.6910110208000456
anotador1,gpt-5.2_few_shot,GPT-5.2,False,0.6198419666374012,0.594546639039342
anotador1,deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,False,0.7695652173913043,0.7423222420016693
anotador1,llama-3.3-70b_few_shot,Llama-3.3-70B,False,0.3557692307692308,0.2856083731083731
anotador1,qwen2.5-72b_few_shot,Qwen2.5-72B,False,0.62426614481409,0.5852652187237197
anotador1,rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,True,0.6060606060606061,0.4730483006453482
anotador1,neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,True,0.6945169712793734,0.6274510495987855
anotador1,neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,True,0.5979680696661829,0.4503732278104198
anotador1,bilstm-crf__supervised,BiLSTM-CRF,True,0.6492146596858639,0.5698301801760791
anotador1,alfaneo_jurisbert-base-portuguese-uncased__supervised,JurisBERT,True,0.6236842105263158,0.5526401628488743
anotador1,alfaneo_bertimbaulaw-base-portuguese-cased__supervised,BERTimbauLaw,True,0.6530612244897959,0.5497185018172028
anotador1,raquelsilveira_legalbertpt_fp__supervised,LegalBert-pt,True,0.6743295019157088,0.6102954485996817
anotador1,ulysses-camara_legal-bert-pt-br__supervised,LegalBERTPT-br,True,0.547085201793722,0.3693155667427053
anotador1,dominguesm_legal-bert-base-cased-ptbr__supervised,Legal-BERT-STF,True,0.659400544959128,0.543516916327529
anotador1,dccmpmgfinalisticas_GovBERT-BR__supervised,GovBERT-BR,True,0.56,0.4157078129508982
anotador2,gpt-4.1_few_shot,GPT-4.1,False,0.7584830339321357,0.7079352047381423
anotador2,gpt-4.1-mini_few_shot,GPT-4.1-mini,False,0.704225352112676,0.6584943081070966
anotador2,gpt-4.1-nano_few_shot,GPT-4.1-nano,False,0.44815465729349735,0.39260518793913035
anotador2,gpt-5-mini_few_shot,GPT-5-mini,False,0.4047890535917902,0.47907359341543015
anotador2,gpt-5.1_few_shot,GPT-5.1,False,0.7105004906771345,0.6633067893701485
anotador2,gpt-5.2_few_shot,GPT-5.2,False,0.6409130816505707,0.6010855135309044
anotador2,deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,False,0.7739130434782608,0.7259337710457866
anotador2,llama-3.3-70b_few_shot,Llama-3.3-70B,False,0.34935897435897434,0.24907733486308575
anotador2,qwen2.5-72b_few_shot,Qwen2.5-72B,False,0.6301369863013698,0.5906572228717054
anotador2,rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,True,0.6031746031746031,0.42857142857142855
anotador2,neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,True,0.660574412532637,0.5364085542469685
anotador2,neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,True,0.5863570391872278,0.4143514983571631
anotador2,bilstm-crf__supervised,BiLSTM-CRF,True,0.6151832460732984,0.5047422823655218
anotador2,alfaneo_jurisbert-base-portuguese-uncased__supervised,JurisBERT,True,0.6105263157894737,0.49397475206298735
anotador2,alfaneo_bertimbaulaw-base-portuguese-cased__supervised,BERTimbauLaw,True,0.6340136054421769,0.5101515708658566
anotador2,raquelsilveira_legalbertpt_fp__supervised,LegalBert-pt,True,0.6538952745849298,0.5597562163048603
anotador2,ulysses-camara_legal-bert-pt-br__supervised,LegalBERTPT-br,True,0.5500747384155455,0.36874315030960597
anotador2,dominguesm_legal-bert-base-cased-ptbr__supervised,Legal-BERT-STF,True,0.659400544959128,0.49624467178175624
anotador2,dccmpmgfinalisticas_GovBERT-BR__supervised,GovBERT-BR,True,0.56,0.4102640446844851
anotador3,gpt-4.1_few_shot,GPT-4.1,False,0.7109768378650554,0.6559290690480674
anotador3,gpt-4.1-mini_few_shot,GPT-4.1-mini,False,0.6685606060606061,0.6143690665868352
anotador3,gpt-4.1-nano_few_shot,GPT-4.1-nano,False,0.46767050487156775,0.4174162633803783
anotador3,gpt-5-mini_few_shot,GPT-5-mini,False,0.38968481375358166,0.4750325269564752
anotador3,gpt-5.1_few_shot,GPT-5.1,False,0.6752475247524753,0.6294853280495383
anotador3,gpt-5.2_few_shot,GPT-5.2,False,0.6176991150442478,0.5836467142148912
anotador3,deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,False,0.7332601536772777,0.6745220374642533
anotador3,llama-3.3-70b_few_shot,Llama-3.3-70B,False,0.35121951219512193,0.2638302090843547
anotador3,qwen2.5-72b_few_shot,Qwen2.5-72B,False,0.6159921026653504,0.5664317102148227
anotador3,rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,True,0.6023391812865497,0.4303023112319825
anotador3,neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,True,0.6393659180977543,0.50056149373651
anotador3,neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,True,0.5764705882352941,0.38883191202318024
anotador3,bilstm-crf__supervised,BiLSTM-CRF,True,0.6251655629139072,0.5139269257339089
anotador3,alfaneo_jurisbert-base-portuguese-uncased__supervised,JurisBERT,True,0.6151797603195739,0.4940159370199693
anotador3,alfaneo_bertimbaulaw-base-portuguese-cased__supervised,BERTimbauLaw,True,0.6446280991735537,0.4914876743105236
anotador3,raquelsilveira_legalbertpt_fp__supervised,LegalBert-pt,True,0.6459948320413437,0.5446797899543123
anotador3,ulysses-camara_legal-bert-pt-br__supervised,LegalBERTPT-br,True,0.5454545454545454,0.36235060814383924
anotador3,dominguesm_legal-bert-base-cased-ptbr__supervised,Legal-BERT-STF,True,0.6510344827586206,0.48139873869585914
anotador3,dccmpmgfinalisticas_GovBERT-BR__supervised,GovBERT-BR,True,0.5741029641185648,0.410080219648421
