kind,label,iou,pred_label
exact,MULTA,0.974025974025974,
exact,OBRIGACAO,0.9666666666666667,
exact,MULTA,1.0,
exact,OBRIGACAO,0.9545454545454546,
exact,MULTA,0.9733333333333334,
exact,OBRIGACAO,0.9672131147540983,
exact,MULTA,0.9397590361445783,
exact,MULTA,1.0,
exact,MULTA,1.0,
exact,MULTA,1.0,
exact,OBRIGACAO,1.0,
exact,RECOMENDACAO,1.0,
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
exact,MULTA,1.0,
exact,MULTA,1.0,
exact,OBRIGACAO,0.8136645962732919,
exact,OBRIGACAO,0.8088235294117647,
exact,MULTA,0.974025974025974,
exact,OBRIGACAO,0.9545454545454546,
FP,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.576271186440678,
FP,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,MULTA,1.0,
exact,OBRIGACAO,1.0,
exact,RECOMENDACAO,1.0,
exact,MULTA,0.65625,
exact,OBRIGACAO,0.9385964912280702,
FP,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.875,
exact,OBRIGACAO,0.9545454545454546,
exact,MULTA,0.974025974025974,
exact,OBRIGACAO,0.9545454545454546,
exact,MULTA,0.9487179487179487,
exact,OBRIGACAO,0.9672131147540983,
exact,MULTA,0.974025974025974,
exact,OBRIGACAO,0.9545454545454546,
exact,MULTA,0.9615384615384616,
exact,OBRIGACAO,0.9672131147540983,
exact,MULTA,0.9736842105263158,
exact,OBRIGACAO,0.9672131147540983,
FP,OBRIGACAO,0.0,
exact,MULTA,0.875,
exact,OBRIGACAO,0.9545454545454546,
exact,MULTA,0.9240506329113924,
exact,OBRIGACAO,0.9672131147540983,
exact,MULTA,1.0,
exact,MULTA,1.0,
exact,OBRIGACAO,1.0,
exact,MULTA,0.875,
exact,OBRIGACAO,0.9545454545454546,
exact,MULTA,0.974025974025974,
exact,OBRIGACAO,0.9545454545454546,
FP,RECOMENDACAO,0.0,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,1.0,
exact,OBRIGACAO,1.0,
exact,MULTA,0.9358974358974359,
exact,OBRIGACAO,0.8272727272727273,
exact,MULTA,0.9487179487179487,
exact,OBRIGACAO,0.9672131147540983,
exact,MULTA,0.974025974025974,
exact,OBRIGACAO,0.9574468085106383,
exact,MULTA,0.9736842105263158,
exact,OBRIGACAO,0.9672131147540983,
exact,MULTA,0.9487179487179487,
exact,OBRIGACAO,0.9672131147540983,
FP,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.961038961038961,
exact,OBRIGACAO,0.96875,
exact,RECOMENDACAO,1.0,
exact,MULTA,0.974025974025974,
exact,OBRIGACAO,0.9545454545454546,
exact,MULTA,0.974025974025974,
exact,OBRIGACAO,0.9545454545454546,
exact,RECOMENDACAO,1.0,
FP,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.9456521739130435,
exact,OBRIGACAO,0.8958333333333334,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,1.0,
FP,MULTA,0.0,
FP,OBRIGACAO,0.0,
boundary,OBRIGACAO,0.06521739130434782,OBRIGACAO
exact,MULTA,1.0,
exact,MULTA,0.9487179487179487,
exact,OBRIGACAO,0.9672131147540983,
exact,MULTA,0.9487179487179487,
exact,OBRIGACAO,0.9672131147540983,
exact,MULTA,0.9487179487179487,
exact,OBRIGACAO,0.9672131147540983,
exact,MULTA,0.9487179487179487,
exact,OBRIGACAO,0.9672131147540983,
exact,MULTA,0.9736842105263158,
exact,OBRIGACAO,0.9672131147540983,
exact,MULTA,0.9487179487179487,
exact,OBRIGACAO,0.9672131147540983,
exact,MULTA,0.9487179487179487,
exact,OBRIGACAO,0.9672131147540983,
exact,MULTA,0.9615384615384616,
exact,OBRIGACAO,0.9672131147540983,
exact,MULTA,0.9736842105263158,
exact,OBRIGACAO,0.9672131147540983,
exact,MULTA,0.974025974025974,
exact,OBRIGACAO,0.9545454545454546,
exact,MULTA,0.974025974025974,
exact,OBRIGACAO,0.9545454545454546,
exact,RECOMENDACAO,1.0,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.8484848484848485,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.974025974025974,
boundary,OBRIGACAO,0.04938271604938271,OBRIGACAO
exact,RECOMENDACAO,1.0,
FP,RECOMENDACAO,0.0,
exact,MULTA,1.0,
exact,OBRIGACAO,0.9666666666666667,
exact,MULTA,1.0,
exact,OBRIGACAO,0.9666666666666667,
exact,MULTA,0.78125,
exact,OBRIGACAO,0.5925925925925926,
exact,OBRIGACAO,0.6794871794871795,
exact,OBRIGACAO,0.7111111111111111,
FP,OBRIGACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.8902439024390244,
exact,RESSARCIMENTO,0.9811320754716981,
boundary,MULTA,0.49295774647887325,MULTA
exact,OBRIGACAO,0.7636363636363637,
exact,MULTA,0.9629629629629629,
exact,MULTA,0.7605633802816901,
exact,MULTA,0.7307692307692307,
exact,MULTA,0.5471698113207547,
exact,OBRIGACAO,1.0,
exact,OBRIGACAO,0.9459459459459459,
exact,OBRIGACAO,0.96875,
exact,MULTA,1.0,
FP,RECOMENDACAO,0.0,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,1.0,
FP,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,OBRIGACAO,0.7441860465116279,
exact,MULTA,1.0,
FP,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,1.0,
FP,RECOMENDACAO,0.0,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,1.0,
exact,MULTA,0.8918918918918919,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.7352941176470589,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,0.8817204301075269,
FP,RESSARCIMENTO,0.0,
exact,MULTA,0.9487179487179487,
exact,OBRIGACAO,0.9661016949152542,
exact,MULTA,0.9487179487179487,
exact,OBRIGACAO,0.8363636363636363,
exact,MULTA,0.8297872340425532,
FP,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,OBRIGACAO,0.9710144927536232,
exact,MULTA,0.875,
exact,OBRIGACAO,0.9666666666666667,
exact,OBRIGACAO,1.0,
exact,MULTA,0.974025974025974,
exact,OBRIGACAO,0.9666666666666667,
exact,MULTA,0.9487179487179487,
exact,OBRIGACAO,0.9672131147540983,
exact,MULTA,0.9487179487179487,
exact,OBRIGACAO,0.9672131147540983,
FP,OBRIGACAO,0.0,
FP,OBRIGACAO,0.0,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,1.0,
exact,MULTA,0.974025974025974,
exact,OBRIGACAO,0.9666666666666667,
exact,MULTA,0.9384615384615385,
exact,RECOMENDACAO,1.0,
boundary,OBRIGACAO,0.2755102040816326,MULTA
exact,OBRIGACAO,0.9795918367346939,
FN,MULTA,0.0,
boundary,MULTA,0.375,MULTA
boundary,MULTA,0.23529411764705882,MULTA
boundary,MULTA,0.2867647058823529,MULTA
boundary,MULTA,0.27205882352941174,MULTA
exact,MULTA,0.5,
exact,MULTA,1.0,
exact,MULTA,0.875,
exact,OBRIGACAO,0.9545454545454546,
exact,MULTA,0.9487179487179487,
exact,OBRIGACAO,0.9672131147540983,
FP,OBRIGACAO,0.0,
exact,RECOMENDACAO,1.0,
exact,MULTA,0.9487179487179487,
