model,display_name,span_f1_point,span_f1_mean,std,ci_lower,ci_upper,ci_width
gpt-4-turbo,GPT-4 Turbo,0.7341269841269841,0.7343960895079983,0.021842639313614385,0.6903910868238062,0.7763289869608826,0.08593790013707636
gpt-5.4-mini_few_shot,GPT-5.4-mini,0.7309644670050761,0.7314945172760661,0.023215596508125477,0.684801570897065,0.7761564554680145,0.09135488457094953
gpt-5.4-nano_few_shot,GPT-5.4-nano,0.7289156626506024,0.7292519134824288,0.02196579073174961,0.6864244741873805,0.7714293677337155,0.085004893546335
gpt-4o,GPT-4o,0.723658051689861,0.7240191350541699,0.022834317672520654,0.6790492762020907,0.7672821186719342,0.08823284246984353
gpt-41-mini,GPT-4.1-mini,0.7107601184600196,0.7109555300190524,0.02218313250650813,0.6673882712332389,0.7546778058847025,0.08728953465146361
gpt-35,GPT-3.5,0.7104477611940297,0.710644228324721,0.023589085034723376,0.6644268763048325,0.7567010821159103,0.0922742058110777
gpt-41,GPT-4.1,0.7052023121387283,0.7053028244785806,0.02129055143578589,0.6634520329995206,0.7465281778033794,0.08307614480385883
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,0.6895604395604397,0.6892031126281537,0.02559959613111388,0.639086557182218,0.7375695505662004,0.09848299338398248
gemini-2.5-flash_few_shot,Gemini-2.5-flash,0.6867119301648884,0.6868052553419116,0.021438413719623975,0.6435521770144201,0.7279154051797566,0.08436322816533648
deepseek-v3_few_shot,DeepSeek-V3,0.6458923512747876,0.6459189300581898,0.02323064855730867,0.5996371605863734,0.6901300646027076,0.09049290401633425
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,0.605143721633888,0.6045475346016945,0.02966136487233325,0.5448816373914799,0.6614179399205193,0.11653630252903946
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,0.6048632218844985,0.6041765382025537,0.03078417640972175,0.5424834166155286,0.6632653061224489,0.12078188950692037
bilstm-crf__supervised,BiLSTM-CRF,0.5925925925925926,0.5924583910044974,0.032501821292786684,0.5277759454705365,0.6561615825120887,0.12838563704155215
gpt-41-nano,GPT-4.1-nano,0.41722972972972977,0.4170879049892259,0.022141813223673402,0.37418028322440083,0.4600768555633768,0.08589657233897596
