model,technique,label,f1,precision,recall
deepseek-v4-flash,cot,MULTA,0.7777777777777778,0.7636363636363637,0.7924528301886793
deepseek-v4-flash,cot,OBRIGACAO,0.629757785467128,0.5759493670886076,0.6946564885496184
deepseek-v4-flash,cot,RECOMENDACAO,0.5774647887323945,0.4606741573033708,0.7735849056603774
deepseek-v4-flash,cot,RESSARCIMENTO,0.6551724137931034,0.7169811320754716,0.6031746031746031
deepseek-v4-flash,few_shot,MULTA,0.7737226277372263,0.7989949748743719,0.75
deepseek-v4-flash,few_shot,OBRIGACAO,0.7078189300411524,0.7678571428571429,0.6564885496183206
deepseek-v4-flash,few_shot,RECOMENDACAO,0.6212121212121211,0.5189873417721519,0.7735849056603774
deepseek-v4-flash,few_shot,RESSARCIMENTO,0.7,0.7368421052631579,0.6666666666666666
deepseek-v4-flash,two_stage,MULTA,0.7766990291262137,0.8,0.7547169811320755
deepseek-v4-flash,two_stage,OBRIGACAO,0.6240601503759399,0.6148148148148148,0.6335877862595419
deepseek-v4-flash,two_stage,RECOMENDACAO,0.5119999999999999,0.4444444444444444,0.6037735849056604
deepseek-v4-flash,two_stage,RESSARCIMENTO,0.5950413223140496,0.6206896551724138,0.5714285714285714
gpt-4.1,cot,MULTA,0.7876106194690266,0.7416666666666667,0.839622641509434
gpt-4.1,cot,OBRIGACAO,0.5504587155963303,0.45918367346938777,0.6870229007633588
gpt-4.1,cot,RECOMENDACAO,0.6482758620689656,0.5108695652173914,0.8867924528301887
gpt-4.1,cot,RESSARCIMENTO,0.7611940298507462,0.7183098591549296,0.8095238095238095
gpt-4.1,few_shot,MULTA,0.7858719646799118,0.7385892116182573,0.839622641509434
gpt-4.1,few_shot,OBRIGACAO,0.6503496503496504,0.6,0.7099236641221374
gpt-4.1,few_shot,RECOMENDACAO,0.593103448275862,0.4673913043478261,0.8113207547169812
gpt-4.1,few_shot,RESSARCIMENTO,0.7462686567164178,0.704225352112676,0.7936507936507936
gpt-4.1,two_stage,MULTA,0.7903930131004365,0.7357723577235772,0.8537735849056604
gpt-4.1,two_stage,OBRIGACAO,0.5986394557823129,0.5398773006134969,0.6717557251908397
gpt-4.1,two_stage,RECOMENDACAO,0.5443037974683546,0.4095238095238095,0.8113207547169812
gpt-4.1,two_stage,RESSARCIMENTO,0.7368421052631577,0.7,0.7777777777777778
gpt-5.2,cot,MULTA,0.7799564270152506,0.7246963562753036,0.8443396226415094
gpt-5.2,cot,OBRIGACAO,0.5126903553299492,0.3840304182509506,0.7709923664122137
gpt-5.2,cot,RECOMENDACAO,0.6857142857142857,0.5517241379310345,0.9056603773584906
gpt-5.2,cot,RESSARCIMENTO,0.7968749999999999,0.7846153846153846,0.8095238095238095
gpt-5.2,few_shot,MULTA,0.7370600414078675,0.6568265682656826,0.839622641509434
gpt-5.2,few_shot,OBRIGACAO,0.4742268041237113,0.35797665369649806,0.7022900763358778
gpt-5.2,few_shot,RECOMENDACAO,0.5255474452554745,0.42857142857142855,0.6792452830188679
gpt-5.2,few_shot,RESSARCIMENTO,0.6040268456375839,0.5232558139534884,0.7142857142857143
gpt-5.2,two_stage,MULTA,0.773913043478261,0.717741935483871,0.839622641509434
gpt-5.2,two_stage,OBRIGACAO,0.5565217391304348,0.4485981308411215,0.732824427480916
gpt-5.2,two_stage,RECOMENDACAO,0.5,0.40229885057471265,0.660377358490566
gpt-5.2,two_stage,RESSARCIMENTO,0.6811594202898551,0.6266666666666667,0.746031746031746
llama-3.3-70b,cot,MULTA,0.32558139534883723,0.9130434782608695,0.19811320754716982
llama-3.3-70b,cot,OBRIGACAO,0.273224043715847,0.4807692307692308,0.19083969465648856
llama-3.3-70b,cot,RECOMENDACAO,0.1621621621621622,0.2857142857142857,0.11320754716981132
llama-3.3-70b,cot,RESSARCIMENTO,0.0,0.0,0.0
llama-3.3-70b,few_shot,MULTA,0.4013840830449827,0.7532467532467533,0.27358490566037735
llama-3.3-70b,few_shot,OBRIGACAO,0.3689320388349515,0.5066666666666667,0.2900763358778626
llama-3.3-70b,few_shot,RECOMENDACAO,0.2926829268292683,0.41379310344827586,0.22641509433962265
llama-3.3-70b,few_shot,RESSARCIMENTO,0.03076923076923077,0.5,0.015873015873015872
llama-3.3-70b,two_stage,MULTA,0.13389121338912136,0.5925925925925926,0.07547169811320754
llama-3.3-70b,two_stage,OBRIGACAO,0.14193548387096774,0.4583333333333333,0.08396946564885496
llama-3.3-70b,two_stage,RECOMENDACAO,0.13114754098360656,0.5,0.07547169811320754
llama-3.3-70b,two_stage,RESSARCIMENTO,0.03076923076923077,0.5,0.015873015873015872
qwen2.5-72b,cot,MULTA,0.7812499999999999,0.7415254237288136,0.8254716981132075
qwen2.5-72b,cot,OBRIGACAO,0.5501618122977346,0.47752808988764045,0.648854961832061
qwen2.5-72b,cot,RECOMENDACAO,0.3558282208588957,0.2636363636363636,0.5471698113207547
qwen2.5-72b,cot,RESSARCIMENTO,0.6762589928057554,0.618421052631579,0.746031746031746
qwen2.5-72b,few_shot,MULTA,0.7528344671201814,0.7248908296943232,0.7830188679245284
qwen2.5-72b,few_shot,OBRIGACAO,0.5116279069767442,0.45294117647058824,0.5877862595419847
qwen2.5-72b,few_shot,RECOMENDACAO,0.37037037037037035,0.27522935779816515,0.5660377358490566
qwen2.5-72b,few_shot,RESSARCIMENTO,0.6764705882352942,0.6301369863013698,0.7301587301587301
qwen2.5-72b,two_stage,MULTA,0.771689497716895,0.7477876106194691,0.7971698113207547
qwen2.5-72b,two_stage,OBRIGACAO,0.531986531986532,0.4759036144578313,0.6030534351145038
qwen2.5-72b,two_stage,RECOMENDACAO,0.39455782312925175,0.30851063829787234,0.5471698113207547
qwen2.5-72b,two_stage,RESSARCIMENTO,0.6131386861313869,0.5675675675675675,0.6666666666666666
