model,technique,label,f1,precision,recall
deepseek-v4-flash,cot,MULTA,0.8344988344988346,0.8248847926267281,0.8443396226415094
deepseek-v4-flash,cot,OBRIGACAO,0.6928571428571428,0.6510067114093959,0.7404580152671756
deepseek-v4-flash,cot,RECOMENDACAO,0.45714285714285713,0.3057324840764331,0.9056603773584906
deepseek-v4-flash,cot,RESSARCIMENTO,0.7049180327868851,0.7288135593220338,0.6825396825396826
deepseek-v4-flash,few_shot,MULTA,0.8160377358490566,0.8160377358490566,0.8160377358490566
deepseek-v4-flash,few_shot,OBRIGACAO,0.7007874015748031,0.7235772357723578,0.6793893129770993
deepseek-v4-flash,few_shot,RECOMENDACAO,0.6618705035971223,0.5348837209302325,0.8679245283018868
deepseek-v4-flash,few_shot,RESSARCIMENTO,0.7438016528925621,0.7758620689655172,0.7142857142857143
deepseek-v4-flash,two_stage,MULTA,0.8160377358490566,0.8160377358490566,0.8160377358490566
deepseek-v4-flash,two_stage,OBRIGACAO,0.717741935483871,0.7606837606837606,0.6793893129770993
deepseek-v4-flash,two_stage,RECOMENDACAO,0.6618705035971223,0.5348837209302325,0.8679245283018868
deepseek-v4-flash,two_stage,RESSARCIMENTO,0.676923076923077,0.6567164179104478,0.6984126984126984
gpt-4.1,cot,MULTA,0.7858719646799118,0.7385892116182573,0.839622641509434
gpt-4.1,cot,OBRIGACAO,0.6351351351351351,0.5696969696969697,0.7175572519083969
gpt-4.1,cot,RECOMENDACAO,0.6619718309859155,0.5280898876404494,0.8867924528301887
gpt-4.1,cot,RESSARCIMENTO,0.7424242424242424,0.7101449275362319,0.7777777777777778
gpt-4.1,few_shot,MULTA,0.7894736842105263,0.7377049180327869,0.8490566037735849
gpt-4.1,few_shot,OBRIGACAO,0.6363636363636364,0.5870967741935483,0.6946564885496184
gpt-4.1,few_shot,RECOMENDACAO,0.6620689655172414,0.5217391304347826,0.9056603773584906
gpt-4.1,few_shot,RESSARCIMENTO,0.7368421052631577,0.7,0.7777777777777778
gpt-4.1,two_stage,MULTA,0.7929515418502202,0.743801652892562,0.8490566037735849
gpt-4.1,two_stage,OBRIGACAO,0.6549295774647887,0.6078431372549019,0.7099236641221374
gpt-4.1,two_stage,RECOMENDACAO,0.6666666666666666,0.5274725274725275,0.9056603773584906
gpt-4.1,two_stage,RESSARCIMENTO,0.7424242424242424,0.7101449275362319,0.7777777777777778
gpt-5.2,cot,MULTA,0.7799564270152506,0.7246963562753036,0.8443396226415094
gpt-5.2,cot,OBRIGACAO,0.5126903553299492,0.3840304182509506,0.7709923664122137
gpt-5.2,cot,RECOMENDACAO,0.6857142857142857,0.5517241379310345,0.9056603773584906
gpt-5.2,cot,RESSARCIMENTO,0.7968749999999999,0.7846153846153846,0.8095238095238095
gpt-5.2,few_shot,MULTA,0.7370600414078675,0.6568265682656826,0.839622641509434
gpt-5.2,few_shot,OBRIGACAO,0.4742268041237113,0.35797665369649806,0.7022900763358778
gpt-5.2,few_shot,RECOMENDACAO,0.5255474452554745,0.42857142857142855,0.6792452830188679
gpt-5.2,few_shot,RESSARCIMENTO,0.6040268456375839,0.5232558139534884,0.7142857142857143
gpt-5.2,two_stage,MULTA,0.773913043478261,0.717741935483871,0.839622641509434
gpt-5.2,two_stage,OBRIGACAO,0.5565217391304348,0.4485981308411215,0.732824427480916
gpt-5.2,two_stage,RECOMENDACAO,0.5,0.40229885057471265,0.660377358490566
gpt-5.2,two_stage,RESSARCIMENTO,0.6811594202898551,0.6266666666666667,0.746031746031746
llama-3.3-70b,cot,MULTA,0.32558139534883723,0.9130434782608695,0.19811320754716982
llama-3.3-70b,cot,OBRIGACAO,0.273224043715847,0.4807692307692308,0.19083969465648856
llama-3.3-70b,cot,RECOMENDACAO,0.1621621621621622,0.2857142857142857,0.11320754716981132
llama-3.3-70b,cot,RESSARCIMENTO,0.0,0.0,0.0
llama-3.3-70b,few_shot,MULTA,0.4013840830449827,0.7532467532467533,0.27358490566037735
llama-3.3-70b,few_shot,OBRIGACAO,0.3689320388349515,0.5066666666666667,0.2900763358778626
llama-3.3-70b,few_shot,RECOMENDACAO,0.2926829268292683,0.41379310344827586,0.22641509433962265
llama-3.3-70b,few_shot,RESSARCIMENTO,0.03076923076923077,0.5,0.015873015873015872
llama-3.3-70b,two_stage,MULTA,0.13389121338912136,0.5925925925925926,0.07547169811320754
llama-3.3-70b,two_stage,OBRIGACAO,0.14193548387096774,0.4583333333333333,0.08396946564885496
llama-3.3-70b,two_stage,RECOMENDACAO,0.13114754098360656,0.5,0.07547169811320754
llama-3.3-70b,two_stage,RESSARCIMENTO,0.03076923076923077,0.5,0.015873015873015872
qwen2.5-72b,cot,MULTA,0.7812499999999999,0.7415254237288136,0.8254716981132075
qwen2.5-72b,cot,OBRIGACAO,0.5501618122977346,0.47752808988764045,0.648854961832061
qwen2.5-72b,cot,RECOMENDACAO,0.3558282208588957,0.2636363636363636,0.5471698113207547
qwen2.5-72b,cot,RESSARCIMENTO,0.6762589928057554,0.618421052631579,0.746031746031746
qwen2.5-72b,few_shot,MULTA,0.7528344671201814,0.7248908296943232,0.7830188679245284
qwen2.5-72b,few_shot,OBRIGACAO,0.5116279069767442,0.45294117647058824,0.5877862595419847
