model,technique,label,f1,precision,recall
deepseek-v4-flash,cot,MULTA,0.8523809523809524,0.8248847926267281,0.8817733990147784
deepseek-v4-flash,cot,OBRIGACAO,0.7058823529411764,0.6442953020134228,0.7804878048780488
deepseek-v4-flash,cot,RECOMENDACAO,0.4593301435406699,0.3057324840764331,0.9230769230769231
deepseek-v4-flash,cot,RESSARCIMENTO,0.7049180327868851,0.7288135593220338,0.6825396825396826
deepseek-v4-flash,few_shot,MULTA,0.8433734939759036,0.8254716981132075,0.8620689655172413
deepseek-v4-flash,few_shot,OBRIGACAO,0.7154471544715447,0.7154471544715447,0.7154471544715447
deepseek-v4-flash,few_shot,RECOMENDACAO,0.6666666666666665,0.5348837209302325,0.8846153846153846
deepseek-v4-flash,few_shot,RESSARCIMENTO,0.7438016528925621,0.7758620689655172,0.7142857142857143
deepseek-v4-flash,two_stage,MULTA,0.8481927710843374,0.8301886792452831,0.8669950738916257
deepseek-v4-flash,two_stage,OBRIGACAO,0.7416666666666666,0.7606837606837606,0.7235772357723578
deepseek-v4-flash,two_stage,RECOMENDACAO,0.6666666666666665,0.5348837209302325,0.8846153846153846
deepseek-v4-flash,two_stage,RESSARCIMENTO,0.676923076923077,0.6567164179104478,0.6984126984126984
gpt-4.1,cot,MULTA,0.8108108108108109,0.7468879668049793,0.8866995073891626
gpt-4.1,cot,OBRIGACAO,0.6527777777777778,0.5696969696969697,0.7642276422764228
gpt-4.1,cot,RECOMENDACAO,0.6666666666666666,0.5280898876404494,0.9038461538461539
gpt-4.1,cot,RESSARCIMENTO,0.7424242424242424,0.7101449275362319,0.7777777777777778
gpt-4.1,few_shot,MULTA,0.8098434004474273,0.7418032786885246,0.8916256157635468
gpt-4.1,few_shot,OBRIGACAO,0.6546762589928057,0.5870967741935483,0.7398373983739838
gpt-4.1,few_shot,RECOMENDACAO,0.6666666666666667,0.5217391304347826,0.9230769230769231
gpt-4.1,few_shot,RESSARCIMENTO,0.7368421052631577,0.7,0.7777777777777778
gpt-4.1,two_stage,MULTA,0.8134831460674158,0.7479338842975206,0.8916256157635468
gpt-4.1,two_stage,OBRIGACAO,0.6739130434782609,0.6078431372549019,0.7560975609756098
gpt-4.1,two_stage,RECOMENDACAO,0.6713286713286712,0.5274725274725275,0.9230769230769231
gpt-4.1,two_stage,RESSARCIMENTO,0.7424242424242424,0.7101449275362319,0.7777777777777778
gpt-5.2,cot,MULTA,0.8044444444444445,0.7327935222672065,0.8916256157635468
gpt-5.2,cot,OBRIGACAO,0.5233160621761658,0.3840304182509506,0.8211382113821138
gpt-5.2,cot,RECOMENDACAO,0.6906474820143885,0.5517241379310345,0.9230769230769231
gpt-5.2,cot,RESSARCIMENTO,0.7968749999999999,0.7846153846153846,0.8095238095238095
gpt-5.2,few_shot,MULTA,0.7552742616033756,0.6605166051660517,0.8817733990147784
gpt-5.2,few_shot,OBRIGACAO,0.4894736842105263,0.36186770428015563,0.7560975609756098
gpt-5.2,few_shot,RECOMENDACAO,0.5294117647058824,0.42857142857142855,0.6923076923076923
gpt-5.2,few_shot,RESSARCIMENTO,0.6040268456375839,0.5232558139534884,0.7142857142857143
gpt-5.2,two_stage,MULTA,0.7893569844789357,0.717741935483871,0.8768472906403941
gpt-5.2,two_stage,OBRIGACAO,0.5637982195845698,0.4439252336448598,0.7723577235772358
gpt-5.2,two_stage,RECOMENDACAO,0.5035971223021583,0.40229885057471265,0.6730769230769231
gpt-5.2,two_stage,RESSARCIMENTO,0.6956521739130435,0.64,0.7619047619047619
llama-3.3-70b,cot,MULTA,0.3373493975903614,0.9130434782608695,0.20689655172413793
llama-3.3-70b,cot,OBRIGACAO,0.29714285714285715,0.5,0.21138211382113822
llama-3.3-70b,cot,RECOMENDACAO,0.1643835616438356,0.2857142857142857,0.11538461538461539
llama-3.3-70b,cot,RESSARCIMENTO,0.0,0.0,0.0
llama-3.3-70b,few_shot,MULTA,0.4214285714285714,0.7662337662337663,0.29064039408866993
llama-3.3-70b,few_shot,OBRIGACAO,0.3939393939393939,0.52,0.3170731707317073
llama-3.3-70b,few_shot,RECOMENDACAO,0.29629629629629634,0.41379310344827586,0.23076923076923078
llama-3.3-70b,few_shot,RESSARCIMENTO,0.03076923076923077,0.5,0.015873015873015872
llama-3.3-70b,two_stage,MULTA,0.14782608695652175,0.6296296296296297,0.08374384236453201
llama-3.3-70b,two_stage,OBRIGACAO,0.14965986394557823,0.4583333333333333,0.08943089430894309
llama-3.3-70b,two_stage,RECOMENDACAO,0.13333333333333336,0.5,0.07692307692307693
llama-3.3-70b,two_stage,RESSARCIMENTO,0.03076923076923077,0.5,0.015873015873015872
qwen2.5-72b,cot,MULTA,0.8018223234624146,0.7457627118644068,0.8669950738916257
qwen2.5-72b,cot,OBRIGACAO,0.558139534883721,0.47191011235955055,0.6829268292682927
qwen2.5-72b,cot,RECOMENDACAO,0.35802469135802467,0.2636363636363636,0.5576923076923077
qwen2.5-72b,cot,RESSARCIMENTO,0.6906474820143885,0.631578947368421,0.7619047619047619
qwen2.5-72b,few_shot,MULTA,0.7731481481481481,0.7292576419213974,0.8226600985221675
qwen2.5-72b,few_shot,OBRIGACAO,0.5187713310580205,0.4470588235294118,0.6178861788617886
qwen2.5-72b,few_shot,RECOMENDACAO,0.37267080745341613,0.27522935779816515,0.5769230769230769
qwen2.5-72b,few_shot,RESSARCIMENTO,0.6764705882352942,0.6301369863013698,0.7301587301587301
qwen2.5-72b,two_stage,MULTA,0.7925407925407926,0.7522123893805309,0.8374384236453202
qwen2.5-72b,two_stage,OBRIGACAO,0.5467128027681661,0.4759036144578313,0.6422764227642277
qwen2.5-72b,two_stage,RECOMENDACAO,0.3972602739726027,0.30851063829787234,0.5576923076923077
qwen2.5-72b,two_stage,RESSARCIMENTO,0.6131386861313869,0.5675675675675675,0.6666666666666666
