display_a,display_b,diff_macro,ci_lower,ci_upper,p_value,p_holm,sig_holm
DeepSeek-V4-Flash,Llama-3.3-70B,0.4567,0.3947,0.516,0.0,0.0,True
GPT-5.2,Llama-3.3-70B,0.3089,0.238,0.3791,0.0,0.0,True
Llama-3.3-70B,Qwen2.5-72B,-0.2997,-0.3687,-0.2295,0.0,0.0,True
GPT-4.1-mini,GPT-4.1-nano,0.2884,0.2304,0.3432,0.0,0.0,True
GPT-5.2,DeepSeek-V4-Flash,-0.1478,-0.1958,-0.1001,0.0,0.0,True
DeepSeek-V4-Flash,LegalBert-pt,0.132,0.0733,0.1939,0.0,0.0,True
GPT-4.1,GPT-5.2,0.1225,0.0803,0.1652,0.0,0.0,True
DeepSeek-V4-Flash,BERTimbau-base,0.1149,0.0553,0.1748,0.0,0.0,True
GPT-5.1,GPT-5.2,0.0965,0.0526,0.1402,0.0,0.0,True
BERTimbau-base,BERTimbauLaw,0.0777,0.0282,0.1285,0.0026,0.0208,True
BERTimbau-base,BiLSTM-CRF,0.0576,-0.0051,0.1193,0.071,0.36,False
GPT-4.1,GPT-4.1-mini,0.0333,0.0082,0.0604,0.0084,0.0588,False
GPT-5.2,BERTimbau-base,-0.0329,-0.1055,0.0399,0.3786,1.0,False
GPT-4.1,DeepSeek-V4-Flash,-0.0253,-0.0517,0.0009,0.06,0.36,False
BERTimbau-base,LegalBert-pt,0.0172,-0.0362,0.0753,0.5486,1.0,False
GPT-5.2,LegalBert-pt,-0.0157,-0.0849,0.0563,0.681,1.0,False
GPT-5.2,Qwen2.5-72B,0.0093,-0.0371,0.0569,0.6816,1.0,False
