model_a,model_b,display_a,display_b,f1_a,f1_b,diff_f1,ci_lower,ci_upper,p_value,significant_95
deepseek-v4-flash_few_shot,llama-3.3-70b_few_shot,DeepSeek-V4-Flash,Llama-3.3-70B,0.7526652452025585,0.3395638629283489,0.41311633849174423,0.3506340728134745,0.4754285477009593,0.0,True
gpt-4.1_few_shot,llama-3.3-70b_few_shot,GPT-4.1,Llama-3.3-70B,0.7215686274509804,0.3395638629283489,0.38220552903203986,0.3162126566928445,0.4465302698841952,0.0,True
llama-3.3-70b_few_shot,raquelsilveira_legalbertpt_fp__supervised,Llama-3.3-70B,LegalBert-pt,0.3395638629283489,0.7002583979328164,-0.3603751931642738,-0.4265198408265291,-0.29393706155960325,0.0,True
gpt-4.1-mini_few_shot,llama-3.3-70b_few_shot,GPT-4.1-mini,Llama-3.3-70B,0.6851338873499538,0.3395638629283489,0.34558498938726406,0.2790376782972364,0.4108031461004436,0.0,True
gpt-5.1_few_shot,llama-3.3-70b_few_shot,GPT-5.1,Llama-3.3-70B,0.6846673095467696,0.3395638629283489,0.3449732236355971,0.27716606966549145,0.4100952229885484,0.0,True
llama-3.3-70b_few_shot,alfaneo_bertimbaulaw-base-portuguese-cased__supervised,Llama-3.3-70B,BERTimbauLaw,0.3395638629283489,0.6843501326259948,-0.34446195088976894,-0.4121758031117713,-0.27723984055019024,0.0,True
gpt-5-mini_few_shot,deepseek-v4-flash_few_shot,GPT-5-mini,DeepSeek-V4-Flash,0.40970654627539504,0.7526652452025585,-0.34342838520366886,-0.3889788798546272,-0.3004319355052711,0.0,True
llama-3.3-70b_few_shot,neuralmind_bert-base-portuguese-cased__supervised,Llama-3.3-70B,BERTimbau-base,0.3395638629283489,0.6785714285714286,-0.3385307602738507,-0.4049489717958072,-0.27061612453221195,0.0,True
gpt-4.1-nano_few_shot,deepseek-v4-flash_few_shot,GPT-4.1-nano,DeepSeek-V4-Flash,0.43252595155709345,0.7526652452025585,-0.3203038128951532,-0.37054310825476666,-0.2673638128793683,0.0,True
llama-3.3-70b_few_shot,dominguesm_legal-bert-base-cased-ptbr__supervised,Llama-3.3-70B,Legal-BERT-STF,0.3395638629283489,0.6545924967658474,-0.31495616880820326,-0.38232643882259154,-0.24614087510721444,0.0,True
gpt-4.1_few_shot,gpt-5-mini_few_shot,GPT-4.1,GPT-5-mini,0.7215686274509804,0.40970654627539504,0.31251757574396455,0.26949112025037686,0.3567977283520105,0.0,True
llama-3.3-70b_few_shot,alfaneo_jurisbert-base-portuguese-uncased__supervised,Llama-3.3-70B,JurisBERT,0.3395638629283489,0.6390374331550803,-0.2992257348945344,-0.3671536249861122,-0.2283781881377146,0.0,True
gpt-5-mini_few_shot,raquelsilveira_legalbertpt_fp__supervised,GPT-5-mini,LegalBert-pt,0.40970654627539504,0.7002583979328164,-0.29068723987619843,-0.3457410355170172,-0.23751053619651194,0.0,True
gpt-4.1_few_shot,gpt-4.1-nano_few_shot,GPT-4.1,GPT-4.1-nano,0.7215686274509804,0.43252595155709345,0.2893930034354489,0.2408304206165099,0.334940595643636,0.0,True
gpt-4.1-mini_few_shot,gpt-5-mini_few_shot,GPT-4.1-mini,GPT-5-mini,0.6851338873499538,0.40970654627539504,0.27589703609918875,0.2370031282768883,0.31563583302318204,0.0,True
gpt-5-mini_few_shot,gpt-5.1_few_shot,GPT-5-mini,GPT-5.1,0.40970654627539504,0.6846673095467696,-0.2752852703475218,-0.31795810362350996,-0.23368981336256747,0.0,True
gpt-5-mini_few_shot,alfaneo_bertimbaulaw-base-portuguese-cased__supervised,GPT-5-mini,BERTimbauLaw,0.40970654627539504,0.6843501326259948,-0.2747739976016936,-0.32759980136761574,-0.22207319366527367,0.0,True
llama-3.3-70b_few_shot,qwen2.5-72b_few_shot,Llama-3.3-70B,Qwen2.5-72B,0.3395638629283489,0.6134615384615385,-0.27398129911096175,-0.3409953967352756,-0.20533256904575872,0.0,True
gpt-5-mini_few_shot,neuralmind_bert-base-portuguese-cased__supervised,GPT-5-mini,BERTimbau-base,0.40970654627539504,0.6785714285714286,-0.26884280698577534,-0.32610478185383657,-0.2121914380759366,0.0,True
gpt-4.1-nano_few_shot,raquelsilveira_legalbertpt_fp__supervised,GPT-4.1-nano,LegalBert-pt,0.43252595155709345,0.7002583979328164,-0.2675626675676827,-0.32004670220865955,-0.2159803410407516,0.0,True
gpt-5.2_few_shot,llama-3.3-70b_few_shot,GPT-5.2,Llama-3.3-70B,0.6067415730337079,0.3395638629283489,0.2670564539861521,0.19694630029961618,0.3360735188944568,0.0,True
llama-3.3-70b_few_shot,rufimelo_Legal-BERTimbau-base__supervised,Llama-3.3-70B,Legal-BERTimbau-base,0.3395638629283489,0.6021180030257186,-0.2618904819391028,-0.3289205800364628,-0.19440940441501525,0.0,True
