model,method,label,f1,precision,recall
deepseek-v4-flash,function_calling,MULTA,0.8009592326139089,0.8146341463414634,0.7877358490566038
deepseek-v4-flash,function_calling,OBRIGACAO,0.6770428015564202,0.6904761904761905,0.6641221374045801
deepseek-v4-flash,function_calling,RECOMENDACAO,0.56,0.4861111111111111,0.660377358490566
deepseek-v4-flash,function_calling,RESSARCIMENTO,0.7213114754098361,0.7457627118644068,0.6984126984126984
deepseek-v4-flash,json_schema,MULTA,0.7741935483870969,0.7567567567567568,0.7924528301886793
deepseek-v4-flash,json_schema,OBRIGACAO,0.6120996441281139,0.5733333333333334,0.6564885496183206
deepseek-v4-flash,json_schema,RECOMENDACAO,0.6201550387596898,0.5263157894736842,0.7547169811320755
deepseek-v4-flash,json_schema,RESSARCIMENTO,0.6666666666666666,0.6376811594202898,0.6984126984126984
gpt-4.1,function_calling,MULTA,0.7586206896551724,0.6984126984126984,0.8301886792452831
gpt-4.1,function_calling,OBRIGACAO,0.5986394557823129,0.5398773006134969,0.6717557251908397
gpt-4.1,function_calling,RECOMENDACAO,0.5333333333333334,0.39285714285714285,0.8301886792452831
gpt-4.1,function_calling,RESSARCIMENTO,0.7218045112781954,0.6857142857142857,0.7619047619047619
gpt-4.1,json_schema,MULTA,0.7868131868131867,0.7366255144032922,0.8443396226415094
gpt-4.1,json_schema,OBRIGACAO,0.608058608058608,0.5845070422535211,0.6335877862595419
gpt-4.1,json_schema,RECOMENDACAO,0.54421768707483,0.425531914893617,0.7547169811320755
gpt-4.1,json_schema,RESSARCIMENTO,0.6766917293233083,0.6428571428571429,0.7142857142857143
