token,label_original,label_sugerido,confianca,sentenca_idx,contexto
"para,",I-MULTA,O,0.9995205400595143,369,"da Silva Morais, para, no mérito, DAR-LHE"
os,I-MULTA,O,0.9994966147758246,369,a e mantendo os demais dispositivos do
excluindo,I-MULTA,O,0.999498096556589,369,"DAR-LHE PROVIMENTO PARCIAL, excluindo a multa imposta"
no,I-MULTA,O,0.9994621978730029,369,"Silva Morais, para, no mérito, DAR-LHE PROVIMENTO"
"mérito,",I-MULTA,O,0.9995045736490576,369,"Morais, para, no mérito, DAR-LHE PROVIMENTO PARCIAL,"
a,I-MULTA,O,0.9995021635872269,369,"PROVIMENTO PARCIAL, excluindo a multa imposta no"
demais,I-MULTA,O,0.9994897566122906,369,e mantendo os demais dispositivos do Acórdão
Como,B-RECOMENDACAO,O,0.999150309073786,506,de reexame interposto. Como também para que
intempestividade,I-MULTA,O,0.9984180648952886,571,"R$ 505,66, pela intempestividade da diligência."
b),B-OBRIGACAO,O,0.9984967995314521,491,Emídio de Medeiros; b) Pela fixação de
mantendo,I-MULTA,O,0.9994896136203036,369,item a e mantendo os demais dispositivos
e,I-MULTA,O,0.9994862426500186,369,no item a e mantendo os demais
a,I-MULTA,O,0.9991754945784195,369,imposta no item a e mantendo os
"PARCIAL,",I-MULTA,O,0.9994712798522507,369,"mérito, DAR-LHE PROVIMENTO PARCIAL, excluindo a multa"
cientificação,B-RECOMENDACAO,O,0.9982740868588247,638,epígrafe; b) pela cientificação imediata da Secretaria
Tufenis,B-MULTA,O,0.9960050769424903,369,"interposto pelo Sr. Tufenis da Silva Morais,"
do,I-RESSARCIMENTO,O,0.999045374071242,781,estadual para ciência do decisum.
para,I-RESSARCIMENTO,O,0.9890389890628281,781,Ministério Público estadual para ciência do decisum.
RECOMENDAÇÃO,B-RECOMENDACAO,O,0.8874072573214825,287,pela expedição de RECOMENDAÇÃO ao Consórcio Público
Corpo,I-OBRIGACAO,O,0.9979105001428785,561,nas manifestações do Corpo Técnico e do
para,I-RECOMENDACAO,O,0.9991430831898066,506,interposto. Como também para que o novo
decisum.,I-RESSARCIMENTO,O,0.9944957507195316,781,para ciência do decisum.
DAR-LHE,I-MULTA,O,0.9994457148654322,369,"para, no mérito, DAR-LHE PROVIMENTO PARCIAL, excluindo"
Após,I-RESSARCIMENTO,O,0.9709671237251786,781,Complementar nº 121/94;c) Após o trânsito em
também,I-RECOMENDACAO,O,0.8282520296674506,506,reexame interposto. Como também para que o
imposta,I-MULTA,O,0.9993987057515963,369,excluindo a multa imposta no item a
Encaminhe-se,I-RESSARCIMENTO,O,0.9983034386532217,781,atualização monetária. d) Encaminhe-se cópia ao Ministério
o,I-RECOMENDACAO,O,0.726010954513388,506,também para que o novo parecer prévio
"ainda,",I-OBRIGACAO,O,0.9987456024775311,491,"c) Por derradeiro, ainda, na hipótese de"
c),I-OBRIGACAO,O,0.998110275781449,491,"os cargos acumulados. c) Por derradeiro, ainda,"
"julgado,",I-RESSARCIMENTO,O,0.9983092876555681,781,"o trânsito em julgado, remetam-se os autos"
cópia,I-RESSARCIMENTO,O,0.997175850273753,781,monetária. d) Encaminhe-se cópia ao Ministério Público
Corpo,I-RESSARCIMENTO,O,0.7656717317531546,781,os autos ao Corpo Técnico a fim
que,I-RESSARCIMENTO,O,0.9779845544174307,781,a fim de que proceda a liquidação
