model_a,model_b,display_a,display_b,f1_a,f1_b,diff_f1,ci_lower,ci_upper,p_value,significant_95
gpt-4-turbo,gpt-41-nano,GPT-4 Turbo,GPT-4.1-nano,0.7341269841269841,0.41722972972972977,0.31730818451877246,0.27495989489772726,0.36080415865055987,0.0,True
gpt-4-turbo,bilstm-crf__supervised,GPT-4 Turbo,BiLSTM-CRF,0.7341269841269841,0.5925925925925926,0.14193769850350096,0.08010950134935685,0.20321950059614077,0.0,True
gpt-4-turbo,rufimelo_Legal-BERTimbau-base__supervised,GPT-4 Turbo,Legal-BERTimbau-base,0.7341269841269841,0.605143721633888,0.12984855490630376,0.07766872526106498,0.18413768634977895,0.0,True
gpt-5.4-mini_few_shot,rufimelo_Legal-BERTimbau-base__supervised,GPT-5.4-mini,Legal-BERTimbau-base,0.7309644670050761,0.605143721633888,0.1269469826743716,0.07371667351719086,0.18099221994618453,0.0,True
neuralmind_bert-base-portuguese-cased__supervised,bilstm-crf__supervised,BERTimbau-base,BiLSTM-CRF,0.6895604395604397,0.5925925925925926,0.09674472162365633,0.04213514440436824,0.15363008829755434,0.0004,True
gpt-4-turbo,deepseek-v3_few_shot,GPT-4 Turbo,DeepSeek-V3,0.7341269841269841,0.6458923512747876,0.08847715944980857,0.05331550780897733,0.12395252318286397,0.0,True
rufimelo_Legal-BERTimbau-base__supervised,neuralmind_bert-base-portuguese-cased__supervised,Legal-BERTimbau-base,BERTimbau-base,0.605143721633888,0.6895604395604397,-0.08465557802645914,-0.12622542612624543,-0.0449748882056755,0.0,True
gpt-4-turbo,gemini-2.5-flash_few_shot,GPT-4 Turbo,Gemini-2.5-flash,0.7341269841269841,0.6867119301648884,0.04759083416608673,0.017906162692078665,0.07676468536674805,0.0028,True
gpt-4-turbo,neuralmind_bert-base-portuguese-cased__supervised,GPT-4 Turbo,BERTimbau-base,0.7341269841269841,0.6895604395604397,0.04519297687984463,-0.0019446276829265502,0.09366960041014682,0.0586,False
gpt-4-turbo,gpt-4o,GPT-4 Turbo,GPT-4o,0.7341269841269841,0.723658051689861,0.010376954453828404,-0.021078927677730588,0.04320460786061441,0.5246,False
gpt-5.4-mini_few_shot,gpt-4o,GPT-5.4-mini,GPT-4o,0.7309644670050761,0.723658051689861,0.00747538222189624,-0.02285234559948414,0.038558137225025456,0.6312,False
gpt-4-turbo,gpt-5.4-mini_few_shot,GPT-4 Turbo,GPT-5.4-mini,0.7341269841269841,0.7309644670050761,0.002901572231932164,-0.03433922406217635,0.04181524103153565,0.8988,False
