model_a,model_b,display_a,display_b,f1_a,f1_b,diff_f1,ci_lower,ci_upper,p_value,significant_95
deepseek-v4-flash_few_shot,llama-3.3-70b_few_shot,DeepSeek-V4-Flash,Llama-3.3-70B,0.7240618101545254,0.3395638629283489,0.3847279032463252,0.3171297356604348,0.45242800781655346,0.0,True
gpt-4.1_few_shot,llama-3.3-70b_few_shot,GPT-4.1,Llama-3.3-70B,0.7151277013752456,0.3395638629283489,0.37557310491354734,0.3096826630956019,0.44084962897018043,0.0,True
gpt-4.1-mini_few_shot,llama-3.3-70b_few_shot,GPT-4.1-mini,Llama-3.3-70B,0.698292220113852,0.3395638629283489,0.35868341699393697,0.2917619293678767,0.42440208855992057,0.0,True
gpt-5.1_few_shot,llama-3.3-70b_few_shot,GPT-5.1,Llama-3.3-70B,0.6846673095467696,0.3395638629283489,0.3449732236355971,0.27716606966549145,0.4100952229885484,0.0,True
llama-3.3-70b_few_shot,neuralmind_bert-base-portuguese-cased__supervised,Llama-3.3-70B,BERTimbau-base,0.3395638629283489,0.6785714285714286,-0.3385307602738507,-0.4049489717958072,-0.27061612453221195,0.0,True
gpt-4.1-nano_few_shot,deepseek-v4-flash_few_shot,GPT-4.1-nano,DeepSeek-V4-Flash,0.4010989010989011,0.7240618101545254,-0.3232737800136715,-0.37425416091307834,-0.27285917267866777,0.0,True
gpt-5-mini_few_shot,deepseek-v4-flash_few_shot,GPT-5-mini,DeepSeek-V4-Flash,0.40970654627539504,0.7240618101545254,-0.3150399499582499,-0.3666728805956165,-0.26513231594381825,0.0,True
gpt-4.1_few_shot,gpt-4.1-nano_few_shot,GPT-4.1,GPT-4.1-nano,0.7151277013752456,0.4010989010989011,0.3141189816808936,0.2657192464084473,0.3627968488995888,0.0,True
gpt-4.1_few_shot,gpt-5-mini_few_shot,GPT-4.1,GPT-5-mini,0.7151277013752456,0.40970654627539504,0.30588515162547203,0.26311182490939466,0.34855470327053156,0.0,True
gpt-4.1-mini_few_shot,gpt-4.1-nano_few_shot,GPT-4.1-mini,GPT-4.1-nano,0.698292220113852,0.4010989010989011,0.29722929376128315,0.25097936881618993,0.3433769902945867,0.0,True
gpt-4.1-mini_few_shot,gpt-5-mini_few_shot,GPT-4.1-mini,GPT-5-mini,0.698292220113852,0.40970654627539504,0.2889954637058616,0.24966116776959107,0.32926300653267354,0.0,True
gpt-4.1-nano_few_shot,gpt-5.1_few_shot,GPT-4.1-nano,GPT-5.1,0.4010989010989011,0.6846673095467696,-0.28351910040294337,-0.3334137140937463,-0.23263703471637487,0.0,True
