model,display,label,precision,recall,f1,matched,total_gold,total_pred
gpt-4-turbo,GPT-4 Turbo,MULTA,0.7816593886462883,0.8443396226415094,0.8117913832199547,179,212,229
gpt-4-turbo,GPT-4 Turbo,OBRIGACAO,0.5849056603773585,0.7099236641221374,0.6413793103448276,93,131,159
gpt-4-turbo,GPT-4 Turbo,RECOMENDACAO,0.5227272727272727,0.8679245283018868,0.6524822695035462,46,53,88
gpt-4-turbo,GPT-4 Turbo,RESSARCIMENTO,0.6986301369863014,0.8095238095238095,0.7500000000000001,51,63,73
gpt-5.4-mini_few_shot,GPT-5.4-mini,MULTA,0.7945205479452054,0.8207547169811321,0.8074245939675174,174,212,219
gpt-5.4-mini_few_shot,GPT-5.4-mini,OBRIGACAO,0.6319444444444444,0.6946564885496184,0.6618181818181817,91,131,144
gpt-5.4-mini_few_shot,GPT-5.4-mini,RECOMENDACAO,0.5402298850574713,0.8867924528301887,0.6714285714285714,47,53,87
gpt-5.4-mini_few_shot,GPT-5.4-mini,RESSARCIMENTO,0.6052631578947368,0.7301587301587301,0.6618705035971223,46,63,76
gpt-4o,GPT-4o,MULTA,0.7748917748917749,0.8443396226415094,0.8081264108352145,179,212,231
gpt-4o,GPT-4o,OBRIGACAO,0.5894039735099338,0.6793893129770993,0.6312056737588653,89,131,151
gpt-4o,GPT-4o,RECOMENDACAO,0.5402298850574713,0.8867924528301887,0.6714285714285714,47,53,87
gpt-4o,GPT-4o,RESSARCIMENTO,0.6282051282051282,0.7777777777777778,0.6950354609929079,49,63,78
gpt-5.4-nano_few_shot,GPT-5.4-nano,MULTA,0.75,0.8207547169811321,0.7837837837837837,174,212,232
gpt-5.4-nano_few_shot,GPT-5.4-nano,OBRIGACAO,0.6549295774647887,0.7099236641221374,0.6813186813186813,93,131,142
gpt-5.4-nano_few_shot,GPT-5.4-nano,RECOMENDACAO,0.5172413793103449,0.8490566037735849,0.642857142857143,45,53,87
gpt-5.4-nano_few_shot,GPT-5.4-nano,RESSARCIMENTO,0.631578947368421,0.7619047619047619,0.6906474820143885,48,63,76
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,MULTA,0.7965116279069767,0.7172774869109948,0.7548209366391183,137,191,172
