model,display,iou_threshold,span_f1,span_f1_macro,span_precision,span_recall
gpt-4-turbo,GPT-4 Turbo,0.3,0.76984126984127,0.7554341019851325,0.7067395264116576,0.8453159041394336
gpt-4-turbo,GPT-4 Turbo,0.5,0.7321428571428572,0.7139132407670822,0.6721311475409836,0.803921568627451
gpt-4-turbo,GPT-4 Turbo,0.7,0.6567460317460319,0.6338232737457908,0.6029143897996357,0.7211328976034859
gpt-4-turbo,GPT-4 Turbo,exact,0.10515873015873015,0.12674404684837987,0.0965391621129326,0.11546840958605664
gpt-5.4-mini_few_shot,GPT-5.4-mini,0.3,0.7573604060913706,0.7426024763098491,0.7091254752851711,0.8126361655773421
gpt-5.4-mini_few_shot,GPT-5.4-mini,0.5,0.7269035532994924,0.7006354627028482,0.6806083650190115,0.7799564270152506
gpt-5.4-mini_few_shot,GPT-5.4-mini,0.7,0.665989847715736,0.6397812461453984,0.623574144486692,0.7145969498910676
gpt-5.4-mini_few_shot,GPT-5.4-mini,exact,0.10964467005076141,0.146902796080549,0.10266159695817491,0.11764705882352941
gpt-4o,GPT-4o,0.3,0.7594433399602386,0.7443517419455175,0.6983546617915904,0.8322440087145969
gpt-4o,GPT-4o,0.5,0.723658051689861,0.7014490292538897,0.6654478976234004,0.7930283224400871
gpt-4o,GPT-4o,0.7,0.6640159045725647,0.6419658151911646,0.6106032906764168,0.7276688453159041
gpt-4o,GPT-4o,exact,0.09145129224652088,0.12163823840856644,0.08409506398537477,0.10021786492374728
gpt-5.4-nano_few_shot,GPT-5.4-nano,0.3,0.7590361445783133,0.7442514417334561,0.7039106145251397,0.8235294117647058
gpt-5.4-nano_few_shot,GPT-5.4-nano,0.5,0.7228915662650601,0.6996517724934992,0.6703910614525139,0.7843137254901961
gpt-5.4-nano_few_shot,GPT-5.4-nano,0.7,0.6646586345381525,0.6444090050205159,0.6163873370577281,0.7211328976034859
gpt-5.4-nano_few_shot,GPT-5.4-nano,exact,0.12048192771084337,0.15542344265365848,0.11173184357541899,0.13071895424836602
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,0.3,0.6111951588502269,0.40994579076554905,0.8347107438016529,0.4821002386634845
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,0.5,0.6021180030257186,0.4058135593605903,0.8223140495867769,0.47494033412887826
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,0.7,0.5779122541603632,0.3875160659974113,0.7892561983471075,0.45584725536992843
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,exact,0.5083207261724659,0.3455318897252686,0.6942148760330579,0.4009546539379475
gpt-41-mini,GPT-4.1-mini,0.3,0.7482724580454098,0.7327701752417288,0.6841155234657039,0.8257080610021786
gpt-41-mini,GPT-4.1-mini,0.5,0.7107601184600196,0.6877889571527427,0.6498194945848376,0.7843137254901961
gpt-41-mini,GPT-4.1-mini,0.7,0.633761105626851,0.6091973892263827,0.5794223826714802,0.6993464052287581
gpt-41-mini,GPT-4.1-mini,exact,0.08489634748272458,0.09894629895997512,0.0776173285198556,0.09368191721132897
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,0.3,0.7142857142857143,0.6261117526112758,0.8414239482200647,0.6205250596658711
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,0.5,0.6785714285714286,0.5800917600159408,0.7993527508090615,0.5894988066825776
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,0.7,0.6510989010989011,0.5553021193391452,0.7669902912621359,0.5656324582338902
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,exact,0.5961538461538461,0.5075957635426901,0.7022653721682848,0.5178997613365155
gpt-35,GPT-3.5,0.3,0.7502487562189055,0.7273364176653161,0.6904761904761905,0.8213507625272332
gpt-35,GPT-3.5,0.5,0.7064676616915423,0.6811098382388747,0.6501831501831502,0.7734204793028322
gpt-35,GPT-3.5,0.7,0.6487562189054725,0.6198254965082712,0.5970695970695971,0.710239651416122
gpt-35,GPT-3.5,exact,0.10746268656716416,0.12993927106410186,0.0989010989010989,0.11764705882352941
gpt-41,GPT-4.1,0.3,0.7437379576107901,0.7390766551242287,0.6666666666666666,0.840958605664488
gpt-41,GPT-4.1,0.5,0.7052023121387283,0.6876848132556285,0.6321243523316062,0.7973856209150327
gpt-41,GPT-4.1,0.7,0.6551059730250482,0.6292043743243307,0.5872193436960277,0.7407407407407407
gpt-41,GPT-4.1,exact,0.12716763005780346,0.15607272532538344,0.11398963730569948,0.1437908496732026
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,0.3,0.6170212765957447,0.49925582320486805,0.8493723849372385,0.48448687350835323
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,0.5,0.6018237082066868,0.4777925295202241,0.8284518828451883,0.47255369928400953
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,0.7,0.5866261398176292,0.4701238178637824,0.8075313807531381,0.4606205250596659
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,exact,0.5410334346504558,0.4294412213201278,0.7447698744769874,0.42482100238663484
gemini-2.5-flash_few_shot,Gemini-2.5-flash,0.3,0.7177497575169738,0.711996600460069,0.6468531468531469,0.8061002178649237
gemini-2.5-flash_few_shot,Gemini-2.5-flash,0.5,0.6867119301648884,0.6706560752228096,0.6188811188811189,0.7712418300653595
gemini-2.5-flash_few_shot,Gemini-2.5-flash,0.7,0.6420950533462658,0.6222623152030784,0.5786713286713286,0.7211328976034859
gemini-2.5-flash_few_shot,Gemini-2.5-flash,exact,0.12221144519883607,0.1565488091396066,0.11013986013986014,0.13725490196078433
deepseek-v3_few_shot,DeepSeek-V3,0.3,0.6855524079320113,0.655315809934598,0.605,0.7908496732026143
deepseek-v3_few_shot,DeepSeek-V3,0.5,0.6458923512747876,0.6002148433532399,0.57,0.7450980392156863
deepseek-v3_few_shot,DeepSeek-V3,0.7,0.5911237016052879,0.5467656480685025,0.5216666666666666,0.681917211328976
deepseek-v3_few_shot,DeepSeek-V3,exact,0.07932011331444759,0.08523782440754601,0.07,0.0915032679738562
bilstm-crf__supervised,BiLSTM-CRF,0.3,0.6364883401920438,0.5455782707535421,0.8315412186379928,0.5155555555555555
bilstm-crf__supervised,BiLSTM-CRF,0.5,0.5925925925925926,0.5004267892296832,0.7741935483870968,0.48
